time,PN_m,PE_m,PD_m,P_m
11.2,306.445057,50.001343,-15.862228,310.902425
11.3,309.405194,49.260295,-15.402267,313.68038
11.4,312.481736,49.188894,-15.380011,316.703216
11.5,315.478506,49.822329,-15.753641,319.776687
11.6,318.414175,50.748688,-16.007445,322.830071
11.7,321.392208,51.426101,-15.619673,325.855135
11.8,324.259705,51.615148,-14.505243,328.662261
11.9,326.96358,51.662238,-13.010091,331.275462
12,329.627108,52.204013,-11.558048,333.935439
12.1,332.161429,53.541991,-10.429738,336.610664
12.2,334.49404,55.354635,-9.522636,339.177062
12.3,336.854571,57.019161,-8.437214,341.750454
12.4,339.379552,57.998816,-6.973208,344.370394
12.5,341.969146,58.303969,-5.318628,346.944574
12.6,344.605287,58.582603,-3.733318,349.569253
12.7,347.229113,59.512377,-2.418121,352.300479
12.8,349.669588,61.154758,-1.490598,354.980206
12.9,352.080072,62.981064,-0.855933,357.669854
13,354.807881,64.327857,-0.372536,360.592352
13.1,357.829519,64.843245,-0.061768,363.657277
13.2,360.919388,64.886594,-0.021453,366.705707
13.3,363.970462,65.251516,-0.279695,369.773357
13.4,366.773259,66.428418,-0.767355,372.741126
13.5,369.227892,68.184311,-1.425243,375.473525
13.6,371.644649,69.872905,-2.341021,378.163256
13.7,374.253526,70.900157,-3.61244,380.927269
13.8,376.911239,71.19356,-5.154549,383.610707
13.9,379.520923,71.358483,-6.801718,386.231054
14,382.079904,72.118567,-8.338809,388.916027
14.1,384.481027,73.632461,-9.54332,391.584568
14.2,386.804488,75.425781,-10.514584,394.23003
14.3,389.306105,76.84582,-11.623844,396.988207
14.4,391.971097,77.471967,-13.035932,399.76641
14.5,394.673194,77.498183,-14.535156,402.47257
14.6,397.514711,77.563549,-15.736984,405.316792
14.7,400.493245,78.126574,-16.274834,408.366834
14.8,403.435578,79.051964,-16.128742,411.423887
14.9,406.407427,79.799914,-15.740033,414.466852
15,409.484058,79.878974,-15.644368,417.495617
15.1,412.477722,79.223356,-15.994536,420.321349
15.2,415.369162,78.207081,-16.395562,422.985464
15.3,418.30596,77.285137,-16.248551,425.695765
15.4,421.178233,76.695742,-15.299683,428.377661
15.5,423.905693,76.273421,-13.90674,430.93743
15.6,426.687363,75.640109,-12.731894,433.526969
15.7,429.566539,74.639805,-12.288539,436.176019
15.8,432.419138,73.46656,-12.476234,438.793007
15.9,435.311966,72.393573,-12.619779,441.470946
16,438.244344,71.624832,-12.07853,444.223043
16.1,441.042912,71.230418,-10.837975,446.889342
16.2,443.819534,71.112598,-9.486075,449.580655
16.3,446.803685,71.176186,-8.724343,452.521488
16.4,449.874211,71.435462,-8.828168,455.596057
16.5,452.877829,71.962694,-9.336901,458.654701
16.6,455.847306,72.78638,-9.446917,461.718385
16.7,458.655567,73.809498,-8.70136,464.638015
16.8,461.201344,74.963522,-7.382562,467.31222
