Time,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9
0,0.52963,0.996465,0.363021,0,0,0,100.851,-0.094764,-1.66527
0.025,0.564737,0.975165,1.0697,0,0,0,100.761,1.72274,-4.17359
0.05,0.629676,0.932419,1.71911,0,0,0,100.502,5.24534,-6.6341
0.075,0.71457,0.868899,2.27585,0,0,0,99.9227,10.2592,-9.01413
0.1,0.806344,0.787579,2.70881,0,0,0,98.8542,16.449,-11.2807
0.125,0.890809,0.695023,2.99308,0,0,0,97.1666,23.4145,-13.4021
0.15,0.955105,0.601747,3.11196,0,0,0,94.8187,30.7026,-15.351
0.175,0.98986,0.521211,3.05855,0,0,0,91.8894,37.8526,-17.1074
0.2,0.990315,0.467598,2.83672,0,0,0,88.5799,44.4436,-18.6615
0.225,0.955996,0.452997,2.46085,0,0,0,85.1872,50.1347,-20.0158
0.25,0.889128,0.484838,1.95446,0,0,0,82.0555,54.6836,-21.1842
0.275,0.792557,0.564212,1.34798,0,0,0,79.5183,57.9449,-22.1917
0.3,0.668175,0.685296,0.676051,0,0,0,77.8445,59.8495,-23.0703
0.325,0.516564,0.835805,-0.0250032,0,0,0,77.1979,60.3786,-23.8564
0.35,0.338068,0.998272,-0.719439,0,0,0,77.6141,59.5441,-24.5866
0.375,0.13494,1.15209,-1.37358,0,0,0,78.998,57.3827,-25.2948
0.4,-0.0861524,1.27627,-1.95642,0,0,0,81.139,53.9666,-26.0086
0.425,-0.312138,1.35277,-2.43942,0,0,0,83.7449,49.4243,-26.7483
0.45,-0.52292,1.36994,-2.79593,0,0,0,86.4894,43.9624,-27.5248
0.475,-0.692781,1.32512,-3.00139,0,0,0,89.066,37.8745,-28.3401
0.5,-0.794051,1.2255,-3.03497,0,0,0,91.2377,31.532,-29.1877
0.525,-0.802461,1.08621,-2.88316,0,0,0,92.8704,25.3554,-30.0542
0.55,-0.702671,0.925876,-2.54399,0,0,0,93.9408,19.7721,-30.9209
0.575,-0.492036,0.760681,-2.03017,0,0,0,94.5173,15.1738,-31.766
0.6,-0.181461,0.599157,-1.36973,0,0,0,94.7206,11.881,-32.5656
0.625,0.206204,0.439632,-0.604144,0,0,0,94.6737,10.1225,-33.2952
0.65,0.638655,0.271508,0.214733,0,0,0,94.4587,10.025,-33.9298
0.675,1.07646,0.0801328,1.02792,0,0,0,94.0875,11.6108,-34.4451
0.7,1.47579,-0.146077,1.77316,0,0,0,93.4968,14.7982,-34.8176
0.725,1.79342,-0.408466,2.39076,0,0,0,92.5667,19.4022,-35.0258
0.75,1.99473,-0.693665,2.83215,0,0,0,91.1595,25.1407,-35.0526
0.775,2.06271,-0.974085,3.06873,0,0,0,89.1695,31.6502,-34.886
0.8,2.00295,-1.2138,3.09672,0,0,0,86.57,38.5152,-34.5217
0.825,1.84121,-1.37756,2.93453,0,0,0,83.4452,45.3101,-33.9631
0.85,1.61436,-1.43913,2.61419,0,0,0,79.9961,51.6442,-33.2212
0.875,1.35942,-1.38614,2.17169,0,0,0,76.5192,57.1992,-32.3126
0.9,1.10536,-1.22081,1.64061,0,0,0,73.3632,61.749,-31.2573
0.925,0.869238,-0.957732,1.05021,0,0,0,70.8747,65.1564,-30.0755
0.95,0.656184,-0.62048,0.426275,0,0,0,69.3459,67.3527,-28.7851
0.975,0.46196,-0.238235,-0.207209,0,0,0,68.9723,68.3092,-27.4002
1,0.276937,0.15692,-0.827208,0,0,0,69.8257,68.0134,-25.9303
1.025,0.0907047,0.532202,-1.41165,0,0,0,71.8444,66.4608,-24.3814
1.05,-0.103461,0.856233,-1.93974,0,0,0,74.8398,63.6649,-22.7568
1.075,-0.305013,1.10145,-2.39178,0,0,0,78.5211,59.682,-21.0591
1.1,-0.504029,1.24689,-2.74818,0,0,0,82.5361,54.6414,-19.2916
1.125,-0.681134,1.281,-2.98837,0,0,0,86.5234,48.7685,-17.4592
1.15,-0.809932,1.20354,-3.09085,0,0,0,90.1684,42.3877,-15.568
1.175,-0.862283,1.02566,-3.03602,0,0,0,93.2477,35.9038,-13.6251
1.2,-0.815894,0.767294,-2.8119,0,0,0,95.6531,29.7625,-11.6361
1.225,-0.662228,0.452233,-2.42107,0,0,0,97.3862,24.4021,-9.60415
1.25,-0.411647,0.102327,-1.88567,0,0,0,98.5278,20.2087,-7.52829
1.275,-0.0932922,-0.266674,-1.24743,0,0,0,99.1905,17.4817,-5.40307
1.3,0.250475,-0.645679,-0.562246,0,0,0,99.469,16.4139,-3.21925
1.325,0.573083,-1.02906,0.108828,0,0,0,99.4027,17.0822,-0.965626
1.35,0.833468,-1.40954,0.709637,0,0,0,98.9594,19.4444,1.3684
1.375,1.00412,-1.77388,1.19723,0,0,0,98.0446,23.3401,3.78983
1.4,1.07555,-2.10174,1.54646,0,0,0,96.5348,28.4969,6.29953
1.425,1.05628,-2.36815,1.74975,0,0,0,94.3252,34.5463,8.89056
1.45,0.968668,-2.54822,1.81268,0,0,0,91.3798,41.0545,11.5482
1.475,0.842655,-2.62233,1.7477,0,0,0,87.7687,47.5659,14.2514
1.5,0.709424,-2.57962,1.56875,0,0,0,83.6807,53.6535,16.9762
1.525,0.596377,-2.41934,1.28873,0,0,0,79.4072,58.9628,19.6991
1.55,0.523502,-2.15004,0.919963,0,0,0,75.3006,63.2395,22.401
1.575,0.500824,-1.78734,0.476858,0,0,0,71.7202,66.3326,25.0699
1.6,0.526953,-1.35137,-0.0209891,0,0,0,68.9761,68.1768,27.7015
1.625,0.589298,-0.864838,-0.547086,0,0,0,67.2848,68.7631,30.2985
1.65,0.666659,-0.35214,-1.06903,0,0,0,66.7408,68.1097,32.8682
1.675,0.7343,0.160458,-1.5524,0,0,0,67.3055,66.2463,35.4192
1.7,0.770368,0.644556,-1.96623,0,0,0,68.8145,63.2148,37.9578
1.725,0.761641,1.07028,-2.28785,0,0,0,71.001,59.0867,40.4852
1.75,0.706582,1.40847,-2.50503,0,0,0,73.5338,53.9884,42.9959
1.775,0.614949,1.63391,-2.61472,0,0,0,76.067,48.1215,45.4774
1.8,0.504646,1.72883,-2.61972,0,0,0,78.2923,41.7692,47.912
1.825,0.397237,1.68524,-2.52519,0,0,0,79.9835,35.2814,50.2795
1.85,0.313302,1.50581,-2.33703,0,0,0,81.0228,29.0418,52.5611
1.875,0.268211,1.20299,-2.06262,0,0,0,81.4016,23.4248,54.7419
1.9,0.268692,0.79688,-1.71326,0,0,0,81.197,18.7552,56.8135
1.925,0.310895,0.312672,-1.30674,0,0,0,80.5319,15.2772,58.7745
1.95,0.380901,-0.221602,-0.86792,0,0,0,79.5303,13.1395,60.63
1.975,0.458142,-0.776396,-0.426454,0,0,0,78.2809,12.3911,62.3893
2,0.521007,-1.32118,-0.0121036,0,0,0,76.8171,12.9862,64.064
2.025,0.552704,-1.82486,0.350397,0,0,0,75.1172,14.7908,65.6654
2.05,0.545299,-2.25669,0.644597,0,0,0,73.1239,17.5931,67.2025
2.075,0.500862,-2.58827,0.862549,0,0,0,70.7763,21.1173,68.6813
2.1,0.430112,-2.79602,1.00239,0,0,0,68.0457,25.0446,70.104
2.125,0.349771,-2.86369,1.06482,0,0,0,64.9654,29.0422,71.4702
2.15,0.279623,-2.78409,1.05025,0,0,0,61.6434,32.7966,72.7776
2.175,0.239501,-2.55971,0.957968,0,0,0,58.257,36.0435,74.0233
2.2,0.245783,-2.20213,0.787798,0,0,0,55.0283,38.5884,75.2049
2.225,0.307106,-1.73041,0.544167,0,0,0,52.1887,40.3107,76.3207
2.25,0.420116,-1.16902,0.240845,0,0,0,49.9419,41.1534,77.3696
2.275,0.567499,-0.545986,-0.0963607,0,0,0,48.4328,41.1042,78.3503
2.3,0.720829,0.108062,-0.431838,0,0,0,47.7267,40.1741,79.2605
2.325,0.848689,0.760124,-0.727869,0,0,0,47.8017,38.3852,80.0959
2.35,0.926895,1.37517,-0.954557,0,0,0,48.5528,35.7681,80.8494
2.375,0.945649,1.91756,-1.0967,0,0,0,49.8075,32.3717,81.5117
2.4,0.910337,2.35382,-1.15428,0,0,0,51.3517,28.279,82.0712
2.425,0.836909,2.65591,-1.1375,0,0,0,52.9631,23.6211,82.5166
2.45,0.745435,2.80406,-1.0602,0,0,0,54.4471,18.5831,82.8374
2.475,0.654904,2.78849,-0.934997,0,0,0,55.6689,13.3968,83.0265
2.5,0.580219,2.60989,-0.771359,0,0,0,56.5729,8.32068,83.0809
2.525,0.530813,2.27898,-0.576336,0,0,0,57.1852,3.61364,83.0022
2.55,0.509981,1.81535,-0.356646,0,0,0,57.5984,-0.490391,82.7964
2.575,0.514671,1.24592,-0.120895,0,0,0,57.9427,-3.80059,82.4727
