time,p_deg_per_sec,q_deg_per_sec,r_deg_per_sec
0,0,0,0
0.0125,30,57.29578,0
0.025,30,57.279453,20.468851
0.0375,30,57.230483,40.646403
0.05,30,57.148896,60.2455
0.0625,30,57.034741,78.98722
0.075,30,56.88808,96.604842
0.0875,30,56.709,112.847645
0.1,30,56.4976,127.484469
0.1125,30,56.254002,140.307014
0.125,30,55.978345,151.132795
0.1375,30,55.670785,159.807748
0.15,30,55.331499,166.208416
0.1625,30,54.960679,170.243708
0.175,30,54.558536,171.856197
0.1875,30,54.1253,171.022935
0.2,30,53.661218,167.75578
0.2125,30,53.166554,162.101229
0.225,30,52.641591,154.139753
0.2375,30,52.086626,143.984655
0.25,30,51.501977,131.780457
0.2625,30,50.887977,117.700841
0.275,30,50.244976,101.946179
0.2875,30,49.57334,84.740682
0.3,30,48.873452,66.329208
0.3125,30,48.145711,46.973777
0.325,30,47.390531,26.949845
0.3375,30,46.608343,6.542379
0.35,30,45.799592,-13.958193
0.3625,30,44.964741,-34.260122
0.375,30,44.104264,-54.074481
0.3875,30,43.218651,-73.119286
0.4,30,42.308408,-91.123502
0.4125,30,41.374053,-107.830905
0.425,30,40.416119,-123.003726
0.4375,30,39.435152,-136.426033
0.45,30,38.43171,-147.906809
0.4625,30,37.406366,-157.282667
0.475,30,36.359704,-164.420175
0.4875,30,35.292321,-169.217757
0.5,30,34.204824,-171.607136
0.5125,30,33.097833,-171.554309
0.525,30,31.97198,-169.060026
0.5375,30,30.827906,-164.159786
0.55,30,29.666263,-156.923325
0.5625,30,28.487713,-147.453629
0.575,30,27.292928,-135.885463
0.5875,30,26.082589,-122.383459
0.6,30,24.857385,-107.13977
0.6125,30,23.618014,-90.371334
0.625,30,22.365184,-72.316789
0.6375,30,21.099607,-53.233075
0.65,30,19.822006,-33.391782
0.6625,30,18.533108,-13.075277
0.675,30,17.233648,7.427306
0.6875,30,15.924366,27.824189
0.7,30,14.60601,47.825096
0.7125,30,13.279329,67.145385
0.725,30,11.94508,85.510102
0.7375,30,10.604023,102.657893
0.75,30,9.256923,118.34472
0.7625,30,7.904548,132.347338
0.775,30,6.547668,144.46647
0.7875,30,5.187056,154.529645
0.8,30,3.823489,162.393649
0.8125,30,2.457742,167.946568
0.825,30,1.090594,171.109374
0.8375,30,-0.277175,171.837058
0.85,30,-1.644786,170.119263
0.8625,30,-3.01146,165.980436
0.875,30,-4.376417,159.479477
0.8875,30,-5.738881,150.708906
0.9,30,-7.098073,139.793538
0.9125,30,-8.453221,126.888715
0.925,30,-9.803551,112.17809
0.9375,30,-11.148294,95.871016
0.95,30,-12.486683,78.199565
0.9625,30,-13.817956,59.415226
0.975,30,-15.141354,39.785326
0.9875,30,-16.456124,19.589226
1,30,-17.761514,-0.885656
1.0125,30,-19.056783,-21.347933
1.025,30,-20.34119,-41.5064
1.0375,30,-21.614006,-61.074174
1.05,30,-22.874503,-79.772777
1.0625,30,-24.121964,-97.336104
1.075,30,-25.355678,-113.514204
1.0875,30,-26.574942,-128.076839
1.1,30,-27.77906,-140.816764
1.1125,30,-28.967347,-151.552672
1.125,30,-30.139125,-160.131776
1.1375,30,-31.293727,-166.431984
1.15,30,-32.430494,-170.363634
1.1625,30,-33.54878,-171.870774
1.175,30,-34.647945,-170.931956
1.1875,30,-35.727365,-167.560539
1.2,30,-36.786423,-161.804505
1.2125,30,-37.824517,-153.745769
1.225,30,-38.841054,-143.499018
1.2375,30,-39.835455,-131.210078
1.25,30,-40.807155,-117.053837
1.2625,30,-41.755597,-101.231758
1.275,30,-42.680244,-83.969011
1.2875,30,-43.580566,-65.511269
1.3,30,-44.456052,-46.121212
1.3125,30,-45.306202,-26.074785
1.325,30,-46.130532,-5.657279
1.3375,30,-46.928572,14.840739
1.35,30,-47.699867,35.127552
1.3625,30,-48.443978,54.914451
1.375,30,-49.16048,73.919842
1.3875,30,-49.848965,91.873252
1.4,30,-50.509042,108.519178
1.4125,30,-51.140333,123.620726
1.425,30,-51.742478,136.962981
1.4375,30,-52.315136,148.356063
1.45,30,-52.857979,157.637833
1.4625,30,-53.370698,164.676199
1.475,30,-53.853001,169.370995
1.4875,30,-54.304612,171.655408
1.5,30,-54.725275,171.496927
1.5125,30,-55.11475,168.897807
1.525,30,-55.472815,163.895039
1.5375,30,-55.799266,156.559817
1.55,30,-56.093916,146.996533
1.5625,30,-56.356599,135.341285
1.575,30,-56.587163,121.759944
1.5875,30,-56.785478,106.44579
1.6,30,-56.951431,89.616766
1.6125,30,-57.084926,71.512371
1.625,30,-57.185889,52.390256
1.6375,30,-57.254262,32.522556
1.65,30,-57.290005,12.192014
1.6625,30,-57.293098,-8.312036
1.675,30,-57.263539,-28.697795
1.6875,30,-57.201346,-48.675145
1.7,30,-57.106553,-67.95978
1.7125,30,-56.979216,-86.277253
1.725,30,-56.819405,-103.366882
1.7375,30,-56.627213,-118.985457
1.75,30,-56.402748,-132.910705
1.7625,30,-56.14614,-144.94445
1.775,30,-55.857533,-154.915434
1.7875,30,-55.537093,-162.681759
1.8,30,-55.185003,-168.132896
1.8125,30,-54.801462,-171.191271
1.825,30,-54.386689,-171.813357
1.8375,30,-53.940921,-169.990301
1.85,30,-53.464412,-165.748049
1.8625,30,-52.957434,-159.146973
1.875,30,-52.420275,-150.281015
1.8875,30,-51.853241,-139.276351
1.9,30,-51.256655,-126.289592
1.9125,30,-50.630859,-111.505557
