Time,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9
0,0.523599,1,0,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.1,0.523599,0.981818,2.44882,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.2,0.523599,0.927931,2.8292,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.3,0.523599,0.840301,0.819847,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.4,0.523599,0.722113,-1.882,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.5,0.523599,0.577666,-2.99419,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.6,0.523599,0.412212,-1.57728,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.7,0.523599,0.231768,1.17191,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.8,0.523599,0.0428956,2.93122,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.9,0.523599,-0.147537,2.21462,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
1,0.523599,-0.332604,-0.372595,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
1.1,0.523599,-0.505576,-2.64509,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
1.2,0.523599,-0.660163,-2.68337,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
1.3,0.523599,-0.790743,-0.455086,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
1.4,0.523599,-0.892567,2.15759,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
1.5,0.523599,-0.961934,2.94782,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
1.6,0.523599,-0.99632,1.24812,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
1.7,0.523599,-0.994475,-1.50583,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
1.8,0.523599,-0.956466,-2.98785,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
1.9,0.523599,-0.883675,-1.94613,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
2,0.523599,-0.778749,0.73942,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
2.1,0.523599,-0.645505,2.80041,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
2.2,0.523599,-0.488787,2.49599,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
2.3,0.523599,-0.314294,0.08329,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
2.4,0.523599,-0.128372,-2.39976,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
2.5,0.523599,0.0622186,-2.85581,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
2.6,0.523599,0.250546,-0.899658,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
2.7,0.523599,0.429763,1.81641,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
2.8,0.523599,0.593351,2.99822,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
2.9,0.523599,0.735363,1.64753,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
3,0.523599,0.850633,-1.09477,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
3.1,0.523599,0.93497,-2.91235,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
3.2,0.523599,0.985306,-2.26997,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
3.3,0.523599,0.999813,0.289775,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
3.4,0.523599,0.977961,2.60476,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
3.5,0.523599,0.920546,2.71959,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
3.6,0.523599,0.829656,0.537277,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
3.7,0.523599,0.708595,-2.09886,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
3.8,0.523599,0.561766,-2.96216,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
3.9,0.523599,0.394509,-1.32342,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
4,0.523599,0.212905,1.43316,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
4.1,0.523599,0.0235592,2.97921,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
4.2,0.523599,-0.166643,2.00881,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
4.3,0.523599,-0.350786,-0.658361,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
4.4,0.523599,-0.522172,-2.76944,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
4.5,0.523599,-0.67457,-2.54126,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
4.6,0.523599,-0.802437,-0.16657,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
4.7,0.523599,-0.901123,2.34882,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
4.8,0.523599,-0.96704,2.88024,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
4.9,0.523599,-0.997792,0.97882,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
5,0.523599,-0.992258,-1.74938,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
5.1,0.523599,-0.950641,-2.99993,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
5.2,0.523599,-0.874455,-1.71655,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
5.3,0.523599,-0.766469,1.01675,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
5.4,0.523599,-0.63061,2.89123,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
5.5,0.523599,-0.47182,2.32359,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
5.6,0.523599,-0.295872,-0.206709,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
5.7,0.523599,-0.109164,-2.56241,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
5.8,0.523599,0.0815132,-2.75373,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
5.9,0.523599,0.269226,-0.619067,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
6,0.523599,0.447149,2.0385,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
6.1,0.523599,0.608811,2.97421,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
6.2,0.523599,0.748334,1.39771,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
6.3,0.523599,0.860644,-1.35939,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
6.4,0.523599,0.941656,-2.96826,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
6.5,0.523599,0.988426,-2.06994,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
6.6,0.523599,0.999251,0.576787,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
6.7,0.523599,0.97374,2.73632,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
6.8,0.523599,0.912818,2.58458,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
6.9,0.523599,0.818701,0.249729,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
7,0.523599,0.694813,-2.29606,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
7.1,0.523599,0.545658,-2.90244,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
7.2,0.523599,0.37666,-1.05723,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
7.3,0.523599,0.193965,1.68099,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
7.4,0.523599,0.00421691,2.99933,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
7.5,0.523599,-0.185685,1.78424,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
7.6,0.523599,-0.368834,-0.937936,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
7.7,0.523599,-0.538571,-2.86787,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
7.79999,0.523599,-0.688723,-2.37541,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
7.89999,0.523599,-0.813829,0.123476,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
7.99999,0.523599,-0.909341,2.51807,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
