time,phi_dot_deg_per_sec,theta_dot_deg_per_sec,psi_dot_deg_per_sec
0,0,0,0
0.1,0.609451,0.943602,1.357357
0.2,0.910594,0.65117,2.969024
0.3,0.907555,0.4922,2.150643
0.4,0.414726,0.917944,-0.360629
0.5,-0.403777,1.331249,-2.548897
0.6,-0.698532,0.999915,-2.624009
0.7,0.434916,0.347807,-0.182835
0.8,1.832758,-0.555501,2.517392
0.9,1.704959,-1.354749,2.705112
1,0.773526,-0.75975,0.727556
1.1,-0.010896,0.662049,-1.643455
1.2,-0.714603,1.19012,-2.966195
1.3,-0.49644,0.264086,-2.092604
1.4,0.666557,-1.214457,0.363981
1.5,0.986401,-2.410594,1.715051
1.6,0.582707,-2.234943,1.063521
1.7,0.629177,-0.602116,-0.798232
1.8,0.713182,1.190285,-2.344533
1.9,0.370824,1.531873,-2.38616
2,0.354685,0.028159,-1.079223
2.1,0.530465,-1.998277,0.46166
2.2,0.324944,-2.751856,1.018568
2.3,0.384998,-1.412433,0.368941
2.4,0.8616,1.040608,-0.803901
2.5,0.786642,2.651694,-1.071347
2.6,0.534069,1.98835,-0.455706
2.7,0.563167,-0.40355,0.44111
2.8,0.45731,-2.466512,0.998082
2.9,0.169206,-2.380291,1.11932
3,0.107351,-0.178363,0.932536
3.1,0.296546,2.269109,0.655962
3.2,0.477935,2.883296,0.707703
3.3,0.661923,1.104327,0.957144
3.4,0.634584,-1.601569,0.932844
3.5,0.436648,-2.958079,0.70084
3.6,0.248879,-1.859708,0.71574
3.7,0.096911,0.731295,0.982156
3.8,0.234136,2.614217,1.090827
3.9,0.509437,2.191641,0.905875
4,0.552891,-0.128026,0.270668
4.1,0.55597,-2.316876,-0.600664
4.2,0.833773,-2.497232,-1.080344
4.3,0.782135,-0.550023,-0.597417
4.4,0.324856,1.833427,0.564587
4.5,0.385691,2.778394,0.976151
4.6,0.523837,1.63818,0.188863
4.7,0.308071,-0.44776,-1.409881
4.8,0.433386,-1.656329,-2.487939
4.9,0.739291,-0.921503,-2.126371
5,0.582106,0.994804,-0.398155
5.1,0.645833,2.426946,1.300827
5.2,1.01637,2.262975,1.585921
5.3,0.441497,0.908069,-0.140367
5.4,-0.65639,-0.557011,-2.458324
5.5,-0.590927,-1.24452,-2.827165
5.6,0.152786,-0.406194,-1.198126
5.7,0.943913,1.010491,1.198915
5.8,1.835473,1.31015,2.876875
5.9,1.638421,0.36458,2.111017
6,0.116532,-0.495497,-0.799723
6.1,-0.736414,-1.147647,-2.817379
6.2,-0.222604,-1.323914,-2.209607
6.3,0.551067,-0.79584,0.199268
6.4,0.941629,-0.45294,2.510836
6.5,0.855236,-0.689744,2.830458
6.6,0.571441,-0.961817,0.83741
6.7,0.661829,-0.923469,-1.829528
6.8,0.954683,-0.61888,-3.001664
6.9,0.851139,-0.551102,-1.715525
7,0.255682,-1.02922,0.910264
7.1,-0.565761,-1.294601,2.799226
7.2,-0.588363,-0.847345,2.311744
7.3,0.768732,-0.203673,-0.4517
7.4,1.957387,0.741047,-2.813487
7.5,1.542193,1.338322,-2.440374
7.6,0.60738,0.481171,-0.233827
7.7,-0.181789,-0.867351,2.05234
7.8,-0.79459,-1.06625,3.007978
7.9,-0.281851,0.039299,1.641834
8,0.847069,1.502105,-0.819612
8.1,0.92081,2.495598,-1.758939
8.2,0.543098,1.984238,-0.769251
8.3,0.678033,0.210668,1.19322
8.4,0.665438,-1.390462,2.500689
8.5,0.327646,-1.328148,2.222667
8.6,0.410137,0.407299,0.729677
8.7,0.510538,2.298077,-0.696115
8.8,0.273362,2.631743,-1.011627
8.9,0.473601,0.94711,-0.136229
9,0.915762,-1.491443,0.976597
9.1,0.730777,-2.705596,1.026724
9.2,0.524783,-1.586464,0.291684
9.3,0.564086,0.917554,-0.604948
9.4,0.39245,2.644073,-1.078774
9.5,0.11384,2.051803,-1.132708
9.6,0.136349,-0.384561,-0.86317
9.7,0.342822,-2.597132,-0.603082
9.8,0.517424,-2.70377,-0.726048
9.9,0.68027,-0.567089,-0.979104
10,0.599949,2.039162,-0.909567
10.1,0.393661,2.924463,-0.708574
10.2,0.203404,1.383058,-0.778713
10.3,0.10719,-1.254266,-1.008914
10.4,0.304091,-2.745781,-1.04821
10.5,0.5473,-1.831325,-0.800339
10.6,0.538715,0.656741,-0.09884
10.7,0.590145,2.559618,0.721587
10.8,0.864474,2.248915,1.049656
10.9,0.686616,0.037283,0.369502
11,0.298304,-2.195432,-0.713321
11.1,0.44618,-2.711236,-0.885066
11.2,0.493293,-1.231723,0.11524
11.3,0.278997,0.83625,1.707869
11.4,0.507118,1.696296,2.525425
11.5,0.741136,0.596592,1.853088
11.6,0.54662,-1.374684,0.009476
11.7,0.726211,-2.552656,-1.473557
11.8,1.000292,-2.060285,-1.370631
11.9,0.189502,-0.587638,0.668195
12,-0.749952,0.827169,2.72206
12.1,-0.438924,1.22413,2.603295
12.2,0.30775,0.114424,0.728713
12.3,1.118858,-1.219412,-1.635056
12.4,1.921,-1.210183,-2.944429
12.5,1.383544,-0.175295,-1.610564
12.6,-0.166647,0.651104,1.369527
12.7,-0.705247,1.279323,2.888406
12.8,-0.037035,1.273496,1.796598
12.9,0.663699,0.672607,-0.751949
13,0.95526,0.434249,-2.783413
13.1,0.793344,0.732138,-2.59123
13.2,0.550503,0.978542,-0.288486
13.3,0.724788,0.900586,2.236849
