time,phi_dot_deg_per_sec,theta_dot_deg_per_sec,psi_dot_deg_per_sec
0,0,0,0
0.2,0.756687,0.797498,2.173981
0.4,0.668958,0.705111,0.899196
0.6,-0.557469,1.174439,-2.595933
0.8,1.139418,-0.102319,1.171156
1,1.246605,-1.066978,1.721627
1.2,-0.376182,0.938838,-2.316267
1.4,0.086299,-0.474955,-0.870243
1.6,0.792753,-2.331217,1.400096
1.8,0.667872,0.299175,-1.58949
2,0.36425,0.789172,-1.736443
2.2,0.43293,-2.385542,0.747206
2.4,0.625935,-0.187276,-0.223629
2.6,0.660801,2.334336,-0.757837
2.8,0.51233,-1.444368,0.72737
3,0.144113,-1.289905,1.024039
3.2,0.39244,2.585532,0.689877
3.4,0.650504,-0.255668,0.961634
3.6,0.345986,-2.424847,0.689229
3.8,0.155834,1.676413,1.059878
4,0.527481,1.033831,0.600085
4.2,0.697283,-2.416538,-0.854985
4.4,0.550612,0.645741,-0.01469
4.6,0.446734,2.21543,0.595295
4.8,0.372879,-1.059019,-1.965985
5,0.662592,0.042078,-1.276057
5.2,0.825842,2.350262,1.457798
5.4,-0.107357,0.173163,-1.307865
5.6,-0.227097,-0.82681,-2.022808
5.8,1.39572,1.169188,2.046389
6,0.882394,-0.06961,0.660763
6.2,-0.494707,-1.230411,-2.534088
6.4,0.754697,-0.621722,1.360121
6.6,0.712865,-0.832915,1.842935
6.8,0.804636,-0.76759,-2.428135
7,0.559696,-0.790341,-0.404619
7.2,-0.58206,-1.082564,2.564138
7.4,1.370995,0.268855,-1.638251
7.6,1.079514,0.91939,-1.33889
7.8,-0.495945,-0.985044,2.53583
8,0.290292,0.769061,0.412712
8.2,0.737925,2.253291,-1.264631
8.4,0.668076,-0.603445,1.864686
8.6,0.367628,-0.470556,1.481286
8.8,0.398283,2.478545,-0.852639
9,0.701755,-0.274389,0.430049
9.2,0.627603,-2.161304,0.645926
9.4,0.480436,1.795229,-0.842024
9.6,0.129461,0.844773,-0.998946
9.8,0.432612,-2.658753,-0.679583
10,0.641856,0.747745,-0.956559
10.2,0.304967,2.170391,-0.721777
10.4,0.195676,-2.002758,-1.055507
10.6,0.541498,-0.586197,-0.46178
10.8,0.730788,2.410432,0.907126
11,0.480493,-1.083486,-0.185195
11.2,0.464377,-1.977624,-0.3998
11.4,0.394909,1.269827,2.134962
11.6,0.644682,-0.397486,0.9414
11.8,0.859087,-2.30896,-1.439384
12,-0.287008,0.120951,1.709523
12.2,-0.072841,0.668269,1.676196
12.4,1.522894,-1.22311,-2.296773
12.6,0.608299,0.241015,-0.120539
12.8,-0.382911,1.273926,2.359915
13,0.818435,0.548885,-1.774832
13.2,0.671611,0.863573,-1.446559
13.4,0.851212,0.742992,2.595283
13.6,0.429588,0.874167,-0.106248
13.8,-0.556093,0.970741,-2.427766
14,1.564488,-0.427263,2.040507
14.2,0.905836,-0.733067,0.914195
14.4,-0.588677,0.969469,-2.677811
14.6,0.484291,-1.052383,0.040491
14.8,0.687694,-2.115361,1.066203
15,0.654966,0.862061,-2.093448
15.2,0.383014,0.115471,-1.194894
15.4,0.364016,-2.490637,0.909389
15.6,0.772146,0.722833,-0.625982
15.8,0.599448,1.907073,-0.511964
16,0.438254,-2.075714,0.942223
16.2,0.129452,-0.364272,0.958067
16.4,0.470445,2.635492,0.682138
16.6,0.623906,-1.211989,0.947698
16.8,0.264956,-1.837243,0.761651
17,0.244595,2.25044,1.035118
17.2,0.548072,0.11507,0.315157
17.4,0.75755,-2.314276,-0.924343
17.6,0.425069,1.486436,0.363354
17.8,0.468562,1.679573,0.168974
18,0.4292,-1.413073,-2.249558
18.2,0.623838,0.759522,-0.593561
18.4,0.869151,2.209861,1.343362
18.6,-0.435613,-0.400054,-2.054231
18.8,0.08478,-0.462922,-1.287871
19,1.622216,1.227785,2.465885
19.2,0.33809,-0.41448,-0.416602
19.4,-0.245377,-1.284446,-2.096354
19.6,0.860954,-0.488611,2.128217
19.8,0.639009,-0.893375,0.999905
20,0.890457,-0.724943,-2.669271
20.2,0.280877,-0.949058,0.616535
20.4,-0.473179,-0.846607,2.187135
20.6,1.709254,0.573849,-2.360841
20.8,0.726993,0.518909,-0.459106
21,-0.644659,-0.894054,2.733596
21.2,0.654188,1.317748,-0.468558
21.4,0.64681,1.92171,-0.813389
21.6,0.631204,-1.063442,2.268492
21.8,0.407847,0.261934,0.88625
22,0.33557,2.420646,-0.916445
22.2,0.829879,-1.142072,0.800536
22.4,0.577921,-1.581207,0.360587
22.6,0.386301,2.274171,-1.028465
22.8,0.143857,-0.134078,-0.902302
23,0.505298,-2.516997,-0.696125
23.2,0.596713,1.630586,-0.93724
23.4,0.22708,1.437089,-0.805829
23.6,0.297952,-2.411061,-0.998799
23.8,0.549507,0.361606,-0.164665
24,0.774415,2.132677,0.903905
24.2,0.389469,-1.841217,-0.508341
24.4,0.458766,-1.332403,0.091074
24.6,0.474103,1.484236,2.305752
24.8,0.606661,-1.1151,0.246462
25,0.847255,-2.056923,-1.170184
25.2,-0.539687,0.654431,2.324674
25.4,0.243278,0.220402,0.869405
25.6,1.685177,-1.183494,-2.545926
25.8,0.088088,0.589122,0.926294
26,-0.092458,1.258315,1.757227
26.2,0.882091,0.445405,-2.407626
26.4,0.616426,0.922688,-0.51887
26.6,0.921159,0.713139,2.648052
26.8,0.1177,1.008563,-1.108115
27,-0.335746,0.718279,-1.84966
27.2,1.802474,-0.705305,2.587474
27.4,0.544661,-0.289883,-0.014414
27.6,-0.660635,0.765441,-2.698611
27.8,0.789606,-1.558036,0.853544
28,0.619818,-1.679957,0.51465
28.2,0.597329,1.198722,-2.384519
28.4,0.434972,-0.646956,-0.565461
28.6,0.319267,-2.269988,0.875491
28.8,0.868876,1.516416,-0.945504
29,0.56232,1.196171,-0.196651
29.2,0.327809,-2.381196,1.103062
29.4,0.173396,0.632247,0.832162
29.6,0.537921,2.308053,0.719449
29.8,0.562906,-1.987759,0.927936
30,0.195316,-0.984772,0.848199
30.2,0.352607,2.47827,0.949148
30.4,0.549264,-0.82638,0.016129
30.6,0.77841,-1.871738,-0.848601
30.8,0.375154,2.135501,0.613647
31,0.436732,0.948645,-0.370585
31.2,0.522239,-1.479802,-2.30316
31.4,0.598203,1.451793,0.086017
31.6,0.790085,1.854647,0.925035
31.8,-0.595047,-0.873754,-2.510293
32,0.399646,0.046367,-0.432649
32.2,1.708865,1.093636,2.533148
32.4,-0.12844,-0.761564,-1.387391
32.6,0.062348,-1.196971,-1.358195
32.8,0.886873,-0.421996,2.603874
33,0.606947,-0.95101,0.020355
33.2,0.936132,-0.707411,-2.532022
33.4,-0.05215,-1.04782,1.562801
33.600001,-0.14576,-0.5919,1.426324
33.800001,1.839098,0.817622,-2.709887
34.000001,0.359624,0.058933,0.493357
34.200001,-0.628955,-0.592538,2.568854
34.400001,0.883308,1.766947,-1.17935
34.600001,0.607311,1.40015,-0.178529
34.800001,0.559596,-1.263695,2.437556
35.000001,0.457669,1.023785,0.24384
35.200001,0.319513,2.044328,-0.786608
35.400001,0.887095,-1.832514,1.054414
35.600001,0.551209,-0.767578,0.021914
35.800001,0.265497,2.39239,-1.164469
36.000001,0.214949,-1.111279,-0.750628
36.200001,0.56738,-2.016431,-0.751429
36.400001,0.523304,2.270231,-0.921944
36.600001,0.172289,0.497157,-0.883349
36.800001,0.40419,-2.44964,-0.888427
37.000001,0.550523,1.26198,0.124912
37.200001,0.769348,1.540526,0.762439
37.400001,0.379096,-2.358814,-0.675824
37.600001,0.406351,-0.542391,0.65961
37.800001,0.570483,1.399347,2.24327
38.000001,0.602609,-1.757616,-0.39162
38.200001,0.694995,-1.608424,-0.616016
38.400001,-0.59823,1.047078,2.604419
38.600001,0.55431,-0.323233,-0.01129
38.800001,1.68552,-0.962569,-2.424168
39.000001,-0.299177,0.92639,1.781069
39.200001,0.211412,1.104868,0.914401
39.400001,0.875899,0.421004,-2.709565
39.600001,0.612005,0.97635,0.478191
39.800001,0.933235,0.707126,2.325722
40.000001,-0.220518,1.065016,-1.962834
40.200001,0.086202,0.470449,-0.935559
40.400001,1.82288,-0.906122,2.724802
40.600001,0.173476,0.161588,-0.963742
40.800001,-0.550449,0.386254,-2.34667
41.000001,0.934837,-1.939179,1.433596
41.200001,0.608693,-1.093422,-0.185285
41.400001,0.519488,1.257508,-2.425419
41.600001,0.468872,-1.377884,0.067044
41.800001,0.341002,-1.751741,0.651967
42.000001,0.8836,2.078742,-1.123004
42.200001,0.541987,0.312533,0.160767
42.400001,0.204993,-2.30692,1.210286
42.600001,0.265044,1.553152,0.662804
42.800001,0.594234,1.652882,0.791171
43.000001,0.480691,-2.467873,0.91949
43.200001,0.162234,0.006759,0.906042
43.400001,0.450616,2.325425,0.821234
43.600001,0.555878,-1.651777,-0.255844
43.800001,0.746985,-1.149757,-0.651741
44.000001,0.396397,2.50235,0.696321
44.200001,0.372465,0.129671,-0.947101
44.400001,0.611306,-1.244116,-2.130037
44.600001,0.622046,2.020991,0.660309
44.800001,0.565068,1.32491,0.255584
45.000001,-0.557223,-1.164823,-2.608836
