Time,Value_1,Value_2,Value_3
2,0.956609,0.141599,5.93757
2.0125,0.962966,0.126739,5.9362
2.025,0.969634,0.108567,5.93727
2.0375,0.976503,0.0872342,5.94062
2.05,0.983452,0.0629432,5.94604
2.0625,0.990353,0.0359421,5.95329
2.075,0.997084,0.00652432,5.96215
2.0875,1.00353,6.25821,5.97238
2.1,1.00961,6.225,5.98372
2.1125,1.01523,6.19049,5.99593
2.125,1.02036,6.1551,6.00878
2.1375,1.02498,6.11929,6.02201
2.15,1.0291,6.08351,6.0354
2.1625,1.03278,6.04823,6.04869
2.175,1.03609,6.01391,6.06165
2.1875,1.03915,5.98099,6.07404
2.2,1.04208,5.94992,6.0856
2.2125,1.04505,5.92108,6.0961
2.225,1.04822,5.89487,6.1053
2.2375,1.05178,5.87161,6.11297
2.25,1.0559,5.85161,6.1189
2.2625,1.06073,5.83513,6.12293
2.275,1.06641,5.82238,6.12492
2.2875,1.07301,5.81355,6.12479
2.3,1.08059,5.80874,6.12251
2.3125,1.08915,5.80803,6.11812
2.325,1.09862,5.81144,6.11171
2.3375,1.10889,5.81894,6.10344
2.35,1.11983,5.83045,6.09351
2.3625,1.13127,5.84581,6.08216
2.375,1.14301,5.86483,6.06965
2.3875,1.15486,5.88725,6.05625
2.4,1.16665,5.91277,6.04223
2.4125,1.17821,5.94103,6.02786
2.425,1.1894,5.97162,6.01337
2.4375,1.20013,6.00411,5.999
2.45,1.21033,6.03802,5.98494
2.4625,1.21994,6.07286,5.97136
2.475,1.22896,6.10812,5.95843
2.4875,1.23741,6.14328,5.94629
2.50001,1.24533,6.17783,5.93506
2.51251,1.25278,6.21126,5.92485
2.52501,1.25984,6.24308,5.91577
2.53751,1.26658,6.27282,5.90792
2.55001,1.27311,0.016864,5.90137
2.56251,1.27951,0.0411865,5.89619
2.57501,1.28586,0.0622452,5.89245
2.58751,1.29225,0.0797322,5.89019
2.60001,1.29873,0.0933904,5.88943
2.61251,1.30535,0.103018,5.89018
2.62501,1.31213,0.10847,5.89241
2.63751,1.31908,0.109662,5.8961
2.65001,1.32617,0.10657,5.90117
2.66251,1.33337,0.0992319,5.90755
2.67501,1.34063,0.0877478,5.91514
2.68751,1.34787,0.0722784,5.92382
2.70001,1.35502,0.0530435,5.93349
2.71251,1.362,0.0303194,5.94403
2.72501,1.36875,0.00443495,5.95532
2.73751,1.37517,6.25895,5.96725
2.75001,1.38122,6.22792,5.97973
2.76251,1.38684,6.19498,5.99265
2.77501,1.39199,6.16062,6.00594
2.78751,1.39664,6.12535,6.01953
2.80001,1.40077,6.08968,6.03334
2.81251,1.40438,6.05416,6.04733
2.82501,1.40748,6.01931,6.06143
2.83751,1.4101,5.98564,6.0756
2.85001,1.41227,5.95367,6.08978
2.86251,1.41404,5.92387,6.1039
2.87501,1.41548,5.89669,6.11792
2.88751,1.41665,5.87254,6.13176
2.90001,1.41763,5.85178,6.14537
2.91251,1.41851,5.83473,6.15866
2.92501,1.41938,5.82167,6.17157
2.93751,1.42031,5.81278,6.18405
2.95001,1.4214,5.80822,6.19603
2.96251,1.4227,5.80807,6.20749
2.97501,1.42428,5.81236,6.21838
2.98751,1.42617,5.82104,6.22872
3.00001,1.42841,5.834,6.23851
3.01251,1.43099,5.85109,6.24779
3.02501,1.43392,5.87207,6.25661
3.03751,1.43719,5.89668,6.26503
3.05001,1.44079,5.92457,6.27313
3.06251,1.44468,5.95537,6.28099
3.07501,1.44887,5.98867,0.00551956
3.08751,1.45332,6.024,0.0131654
3.10001,1.45804,6.06088,0.020833
3.11251,1.46301,6.09881,0.028605
3.12501,1.46825,6.13725,0.0365595
3.13751,1.47376,6.17567,0.044768
3.15001,1.47955,6.21354,0.0532947
3.16251,1.48564,6.25032,0.0621944
3.17501,1.49205,0.00232428,0.0715117
3.18751,1.49878,0.0354208,0.0812787
3.20001,1.50585,0.0659591,0.091514
3.21251,1.51325,0.0935078,0.10222
3.22501,1.52098,0.117677,0.113384
3.23751,1.529,0.138122,0.124974
3.25001,1.5373,0.154554,0.136941
3.26251,1.54581,0.166737,0.149219
3.27501,1.55449,0.174497,0.161731
3.28751,1.56325,0.177724,0.174384
3.30001,1.57204,0.176372,0.187084
3.31251,1.58077,0.17046,0.199732
3.32501,1.58938,0.160074,0.212233
3.33751,1.59779,0.145363,0.224502
3.35001,1.60596,0.126539,0.236465
3.36251,1.61385,0.103871,0.248061
3.37501,1.62141,0.0776829,0.25925
3.38751,1.62864,0.048347,0.270005
3.40001,1.63552,0.0162803,0.280318
3.41251,1.64206,6.26512,0.290198
3.42501,1.64826,6.22899,0.299668
3.43751,1.65415,6.19157,0.308761
3.45001,1.65972,6.15339,0.317526
3.46251,1.66501,6.11499,0.326017
3.47501,1.67001,6.0769,0.334299
3.48751,1.67474,6.03966,0.342442
3.50001,1.6792,6.00377,0.350522
3.51251,1.68338,5.96974,0.358618
3.52501,1.68727,5.93803,0.366811
3.53751,1.69087,5.90909,0.375182
3.55001,1.69415,5.8833,0.383808
3.56251,1.69712,5.86101,0.392761
3.57501,1.69975,5.84253,0.402103
3.58751,1.70206,5.82809,0.411885
3.60001,1.70404,5.8179,0.422143
3.61251,1.70573,5.81206,0.432896
3.62501,1.70716,5.81066,0.444143
3.63751,1.70838,5.81369,0.45587
3.65001,1.70946,5.82109,0.468044
3.66251,1.71046,5.83275,0.48062
3.67501,1.71146,5.84846,0.493544
3.68751,1.71256,5.868,0.506758
3.70001,1.71382,5.89105,0.520199
3.71251,1.71533,5.91729,0.533806
3.72501,1.71715,5.9463,0.547521
3.73751,1.71934,5.97766,0.56129
3.75001,1.72196,6.01089,0.57506
3.76251,1.72505,6.04551,0.588784
3.77501,1.72862,6.08098,0.602413
3.78751,1.73269,6.1168,0.615899
3.80001,1.73727,6.15243,0.629188
3.81251,1.74234,6.18733,0.642223
