time,phi_dot_deg_per_sec,theta_dot_deg_per_sec,psi_dot_deg_per_sec
0,0,0,0
0.0125,0.525115,0.999116,0.182119
0.025,0.534146,0.993809,0.543923
0.0375,0.551867,0.983167,0.898453
0.05,0.577609,0.967158,1.240945
0.0625,0.610392,0.945771,1.566763
0.075,0.648961,0.919065,1.871455
0.0875,0.691825,0.887218,2.150804
0.1,0.737316,0.85058,2.400891
0.1125,0.783657,0.809716,2.618155
0.125,0.829032,0.765441,2.79945
0.1375,0.871675,0.718831,2.942117
0.15,0.909942,0.671216,3.044037
0.1625,0.942388,0.624149,3.103693
0.175,0.967822,0.579347,3.120209
0.1875,0.985346,0.538625,3.093383
0.2,0.994373,0.5038,3.023702
0.2125,0.994608,0.476605,2.912332
0.225,0.986019,0.458593,2.761093
0.2375,0.968781,0.451054,2.572415
0.25,0.943207,0.454942,2.349274
0.2625,0.909677,0.470826,2.09512
0.275,0.868575,0.498851,1.8138
0.2875,0.820229,0.538722,1.509463
0.3,0.764882,0.589703,1.186486
0.3125,0.702677,0.650634,0.84938
0.325,0.633669,0.719959,0.502721
0.3375,0.557862,0.795767,0.151072
0.35,0.475263,0.875842,-0.201076
0.3625,0.385955,0.95773,-0.549348
0.375,0.290179,1.038812,-0.889526
0.3875,0.188416,1.116391,-1.217564
0.4,0.081465,1.187789,-1.52959
0.4125,-0.029487,1.250456,-1.821901
0.425,-0.142816,1.302083,-2.090938
0.4375,-0.256442,1.34071,-2.333267
0.45,-0.367831,1.364835,-2.54556
0.4625,-0.47404,1.373503,-2.724592
0.475,-0.571796,1.36637,-2.867266
0.4875,-0.657613,1.34373,-2.970658
0.5,-0.727945,1.30651,-3.03211
0.5125,-0.779361,1.256209,-3.049343
0.525,-0.808736,1.19479,-3.020595
0.5375,-0.813436,1.12454,-2.944766
0.55,-0.79148,1.047884,-2.821556
0.5625,-0.741671,0.967187,-2.651573
0.575,-0.663664,0.884562,-2.436399
0.5875,-0.557999,0.801688,-2.178605
0.6,-0.426068,0.719673,-1.881728
0.6125,-0.270056,0.638968,-1.550199
0.625,-0.092862,0.559344,-1.189255
0.6375,0.101989,0.479933,-0.804829
0.65,0.310423,0.399329,-0.403453
0.6625,0.52789,0.315754,0.007842
0.675,0.749423,0.227259,0.421631
0.6875,0.96971,0.131963,0.830194
0.7,1.183202,0.028298,1.225659
0.7125,1.384252,-0.084745,1.600176
0.725,1.567323,-0.207413,1.946148
0.7375,1.727256,-0.339027,2.256505
0.75,1.859571,-0.477911,2.525023
0.7625,1.960784,-0.621397,2.746626
0.775,2.028674,-0.765938,2.91766
0.7875,2.062475,-0.907308,3.036056
0.8,2.06293,-1.040865,3.101386
0.8125,2.032206,-1.16186,3.114769
0.825,1.973678,-1.265748,3.078654
