time,phi_deg,theta_deg,psi_deg
0,0,0,0
0.025,0.758639,1.42733,0.51999
0.05,1.567565,2.824151,2.052223
0.075,2.46951,4.159743,4.514668
0.1,3.493057,5.40435,7.774583
0.125,4.648059,6.532473,11.654661
0.15,5.924048,7.52802,15.941933
0.175,7.292136,8.389959,20.39948
0.2,8.710006,9.136539,24.780525
0.225,10.128527,9.806324,28.843821
0.25,11.497891,10.455194,32.368724
0.275,12.771472,11.149674,35.168285
0.3,13.906727,11.957848,37.099118
0.325,14.863817,12.939463,38.06749
0.35,15.603741,14.136664,38.031677
0.375,16.087987,15.566584,37.001158
0.4,16.281275,17.216831,35.033652
0.425,16.157871,19.044953,32.231285
0.45,15.710767,20.982657,28.737079
0.475,14.961741,22.944948,24.732202
0.5,13.969406,24.843043,20.433032
0.525,12.832011,26.598443,16.085754
0.55,11.682571,28.154328,11.955925
0.575,10.67607,29.480547,8.311928
0.6,9.97128,30.570142,5.403925
0.625,9.711357,31.428371,3.441934
0.65,10.006725,32.058096,2.576565
0.675,10.921533,32.447002,2.884153
0.7,12.463444,32.561782,4.356549
0.725,14.577357,32.35254,6.896419
0.75,17.146238,31.767452,10.320942
0.775,20.003483,30.773847,14.377697
0.8,22.958093,29.37857,18.773325
0.825,25.827099,27.639922,23.209044
0.85,28.464436,25.666707,27.412447
0.875,30.776828,23.605306,31.156998
0.9,32.72405,21.619813,34.267708
0.925,34.307361,19.871143,36.617705
0.95,35.552448,18.499299,38.122003
0.975,36.492357,17.610535,38.732583
1,37.154061,17.269299,38.435763
1.025,37.550739,17.494079,37.250861
1.05,37.680659,18.256409,35.228808
1.075,37.532457,19.482878,32.450323
1.1,37.095552,21.060588,29.024343
1.125,36.373578,22.846625,25.087852
1.15,35.397922,24.681518,20.807326
1.175,34.237778,26.405459,16.38001
1.2,33.002648,27.874601,12.031233
1.225,31.83397,28.973659,8.003495
1.25,30.885405,29.621424,4.53558
1.275,30.295774,29.767983,1.834571
1.3,30.162156,29.385988,0.047788
1.325,30.520948,28.461108,-0.757545
1.35,31.341839,26.987067,-0.601636
1.375,32.535703,24.968037,0.414865
1.4,33.974001,22.427134,2.129789
1.425,35.514617,19.416595,4.344945
1.45,37.027622,16.024466,6.851288
1.475,38.415132,12.3744,9.447764
1.5,39.622141,8.618191,11.951151
1.525,40.638311,4.923168,14.198214
1.55,41.492555,1.457725,16.044173
1.575,42.242414,-1.621968,17.361903
1.6,42.959792,-4.182121,18.044927
1.625,43.714599,-6.117795,18.014836
1.65,44.55871,-7.356557,17.231165
1.675,45.513632,-7.860932,15.699859
1.7,46.565441,-7.631065,13.47618
1.725,47.668911,-6.707781,10.659743
1.75,48.759878,-5.174689,7.382622
1.775,49.771976,-3.157192,3.794425
1.8,50.652818,-0.816774,0.049108
1.825,51.375662,1.659587,-3.703358
1.85,51.944654,4.073499,-7.320415
1.875,52.39342,6.230392,-10.667948
1.9,52.777602,7.953518,-13.622406
1.925,53.162476,9.094932,-16.076449
1.95,53.607804,9.542764,-17.948191
1.975,54.153411,9.225303,-19.191362
2,54.809657,8.113156,-19.802179
2.025,55.555948,6.220656,-19.819483
2.05,56.34764,3.606704,-19.31755
2.075,57.128721,0.374209,-18.394213
2.1,57.846148,-3.333227,-17.158688
2.125,58.462232,-7.338238,-15.722864
2.15,58.963237,-11.440177,-14.197623
2.175,59.363762,-15.428087,-12.693246
2.2,59.706818,-19.094586,-11.321061
2.225,60.058875,-22.248883,-10.192629
2.25,60.498773,-24.727496,-9.413175
2.275,61.100547,-26.401976,-9.068197
2.3,61.913432,-27.18403,-9.206231
2.325,62.945947,-27.029232,-9.824799
2.35,64.161608,-25.940429,-10.867398
2.375,65.489291,-23.970647,-12.234703
2.4,66.843836,-21.223945,-13.805617
2.425,68.147801,-17.852343,-15.459005
2.45,69.346587,-14.048028,-17.088353
2.475,70.414348,-10.031502,-18.606982
2.5,71.352431,-6.037283,-19.946268
2.525,72.183536,-2.298885,-21.051162
2.55,72.943871,0.965526,-21.876708
2.575,73.674365,3.565838,-22.387573
2.6,74.411576,5.350512,-22.560752
2.625,75.179461,6.214718,-22.389837
2.65,75.983962,6.106057,-21.888141
2.675,76.812237,5.027833,-21.088139
2.7,77.636879,3.03961,-20.036447
2.725,78.423439,0.254701,-18.785888
2.75,79.138409,-3.165702,-17.387586
2.775,79.755323,-7.021614,-15.885673
2.8,80.258209,-11.086016,-14.315681
2.825,80.642925,-15.118423,-12.706173
2.85,80.91739,-18.879283,-11.082329
2.875,81.101235,-22.144263,-9.469812
2.9,81.224516,-24.717508,-7.897219
2.925,81.324559,-26.443048,-6.395551
2.95,81.440347,-27.213679,-4.994044
2.975,81.605391,-26.976812,-3.713535
3,81.841716,-25.737134,-2.560264
3.025,82.157775,-23.556097,-1.523283
3.05,82.551106,-20.548438,-0.576551
3.075,83.014024,-16.875907,0.315729
3.1,83.53943,-12.738453,1.193132
3.125,84.124588,-8.363257,2.094193
3.15,84.772065,-3.992171,3.05304
3.175,85.488044,0.131756,4.096779
3.2,86.278674,3.777938,5.242806
3.225,87.14538,6.741376,6.495856
3.25,88.080544,8.854571,7.845526
3.275,89.065309,9.997546,9.265871
3.3,90.071028,10.10527,10.718519
3.325,91.064453,9.171803,12.159492
3.35,92.014814,7.250714,13.54787
3.375,92.899791,4.4517,14.85337
3.4,93.708106,0.93379,16.060535
3.425,94.438326,-3.104243,17.169198
3.45,95.095099,-7.435516,18.192404
3.475,95.684628,-11.818016,19.153439
3.5,96.210853,-16.008249,20.082955
3.525,96.673382,-19.774836,21.016246
3.55,97.067805,-22.911339,21.990063
3.575,97.388674,-25.247631,23.038275
3.6,97.634533,-26.659217,24.186471
3.625,97.813189,-27.074069,25.446941
3.65,97.944602,-26.47668,26.816303
3.675,98.05956,-24.909125,28.277372
3.7,98.194558,-22.468945,29.804548
3.725,98.385269,-19.303818,31.370012
3.75,98.661156,-15.603172,32.947897
3.775,99.042279,-11.587194,34.515108
3.8,99.537896,-7.493888,36.049204
3.825,100.145936,-3.564948,37.524702
3.85,100.852942,-0.031349,38.909405
3.875,101.634908,2.900444,40.162336
3.9,102.460004,5.060654,41.234643
3.925,103.293953,6.325886,42.074141
3.95,104.107625,6.625689,42.632804
3.975,104.884795,5.94576,42.874904
4,105.627221,4.327974,42.782823
4.025,106.354979,1.867607,42.358569
4.05,107.101993,-1.291952,41.621298
4.075,107.908357,-4.966912,40.603094
4.1,108.811472,-8.943164,39.345786
4.125,109.837331,-12.988592,37.90067
4.15,110.992605,-16.867115,36.331387
4.175,112.258393,-20.353613,34.718339
4.2,113.587571,-23.248449,33.16134
4.225,114.908778,-25.389952,31.776286
4.25,116.139297,-26.663218,30.682809
4.275,117.205383,-27.004308,29.984062
4.3,118.063345,-26.400282,29.74528
4.325,118.712299,-24.886701,29.98027
4.35,119.192924,-22.544256,30.651479
4.375,119.573748,-19.495029,31.681963
4.4,119.93185,-15.897534,32.972112
4.425,120.33516,-11.939368,34.413737
4.45,120.830328,-7.826931,35.897743
4.475,121.43669,-3.772718,37.315765
4.5,122.145364,0.01852,38.55873
4.525,122.922683,3.363041,39.516016
4.55,123.717861,6.109177,40.07827
4.575,124.474662,8.145012,40.145262
4.6,125.145571,9.40241,39.637692
4.625,125.705137,9.858078,38.509514
4.65,126.15826,9.532973,36.756295
4.675,126.540322,8.49104,34.416437
4.7,126.908944,6.837274,31.565254
4.725,127.330122,4.714099,28.304976
4.75,127.8629,2.294728,24.755009
4.775,128.546305,-0.227172,21.045578
4.8,129.390872,-2.651065,17.315254
4.825,130.375992,-4.784782,13.710218
4.85,131.453757,-6.459102,10.381842
4.875,132.559342,-7.539304,7.479644
4.9,133.626472,-7.932015,5.139045
4.925,134.60446,-7.587183,3.466433
4.95,135.471903,-6.4965,2.526217
4.975,136.242745,-4.690406,2.334195
5,136.963042,-2.23527,2.858933
5.025,137.699856,0.769116,4.029411
5.05,138.525672,4.192911,5.744979
5.075,139.501898,7.882131,7.883501
5.1,140.664077,11.668121,10.305214
5.125,142.010429,15.380357,12.852418
5.15,143.495204,18.860911,15.347613
5.175,145.028774,21.977712,17.594387
5.2,146.486497,24.633339,19.385373
5.225,147.726944,26.766862,20.519353
5.25,148.617076,28.348518,20.825722
5.275,149.058887,29.370055,20.190748
