time,phi_deg,theta_deg,psi_deg
0,0,0,0
0.2,8.670993,9.138649,24.911983
0.4,16.336687,17.218623,35.216013
0.6,9.948565,30.676703,5.468807
0.8,23.005338,29.504212,18.889271
1,37.290379,17.277549,38.617666
1.2,32.979648,28.035843,12.0752
1.4,33.968564,22.593261,2.102951
1.6,43.05285,-4.120522,18.146873
1.8,50.706096,-0.692224,-0.06734
2,54.88009,8.35102,-19.965514
2.2,59.841102,-18.98528,-11.403168
2.4,67.013784,-21.131307,-13.96577
2.6,74.586,5.61821,-22.649944
2.8,80.456872,-10.933023,-14.314897
3,82.10828,-25.714251,-2.580271
3.2,86.60531,3.913764,5.325141
3.4,94.059534,0.984029,16.344656
3.6,98.024244,-26.802675,24.242642
3.8,99.809966,-7.592401,36.387953
4,105.854454,4.254432,43.264426
4.2,113.84473,-23.437049,33.467018
4.4,120.154275,-16.037399,33.29868
4.6,125.27347,9.349556,40.120253
4.8,129.546348,-2.785912,17.591725
5,137.139088,-2.303732,2.969185
5.2,146.602539,24.628291,19.674321
5.4,145.372321,26.612594,4.687296
5.6,142.769984,17.138047,-18.492376
5.8,158.763762,30.53595,4.957514
6,168.875248,29.73828,12.529298
6.2,163.206325,15.638813,-16.509217
6.4,171.85452,8.514401,-0.923379
6.6,-179.97665,-1.030097,20.195105
6.8,-170.756197,-9.826027,-7.629272
7,-164.342554,-18.882667,-12.265859
7.2,-171.012472,-31.287942,17.117
7.4,-155.302027,-28.207086,-1.655972
7.6,-142.931706,-17.671656,-16.998524
7.8,-148.614816,-28.959427,12.059953
8,-145.288317,-20.14664,16.789285
8.2,-136.832315,5.674173,2.297678
8.4,-129.176726,-1.2408,23.665404
8.6,-124.964022,-6.63298,40.639687
8.8,-120.400033,21.769049,30.869165
9,-112.358518,18.624788,35.797168
9.2,-105.166721,-6.141934,43.198932
9.4,-99.661334,14.429871,33.550049
9.6,-98.177825,24.110262,22.102968
9.8,-93.220455,-6.356799,14.315523
10,-85.865324,2.211725,3.354163
10.2,-82.370662,27.082577,-4.916792
10.4,-80.128385,4.132661,-17.012017
10.6,-73.923279,-2.584661,-22.303622
10.8,-65.549065,25.036855,-11.908726
11,-60.043025,12.621018,-14.030902
11.2,-54.721655,-10.040879,-18.61227
11.4,-50.196328,4.510262,5.852589
11.6,-42.808819,-0.044593,16.640238
11.8,-32.964403,-26.50333,0.146113
12,-36.253275,-25.117331,19.735809
12.2,-37.087976,-17.459531,38.943604
12.4,-19.636897,-31.475337,12.624524
12.6,-12.666306,-28.71351,11.243253
12.8,-17.054142,-14.11539,38.285887
13,-7.675566,-7.825633,17.947806
13.2,0.020529,2.070186,1.371458
13.4,9.774703,10.584251,31.11121
13.6,14.69742,20.601463,29.893695
13.8,8.325062,31.725338,2.073545
14,26.252778,26.82927,25.456033
14.2,36.632893,18.428938,35.931937
14.4,29.887152,29.538238,5.246478
14.6,35.436713,17.478819,5.710475
14.8,43.317109,-6.761429,17.928258
15,50.822463,3.11706,-6.060891
15.2,55.211476,4.440256,-19.75337
15.4,59.382789,-24.100337,-9.332543
15.6,68.23093,-15.817284,-16.505771
15.8,75.100102,6.036163,-22.372449
16,80.122122,-17.74977,-11.575368
16.2,81.605538,-21.924015,-0.596725
16.4,86.99644,8.276504,7.220004
16.6,94.145882,-5.611871,18.07982
16.8,97.182049,-26.665122,26.807697
17,99.984897,-0.876978,38.669273
17.2,106.265338,0.441633,42.280709
17.4,114.946225,-26.078016,31.688516
17.6,119.817152,-9.044709,35.852247
17.8,125.186476,10.201784,37.788548
18,130.104749,-5.990836,12.010516
18.2,137.25341,2.71264,5.208807
18.4,147.213149,28.03578,20.602597
18.6,142.221391,23.451498,-2.937156
18.8,143.192896,18.1468,-17.695071
19,161.782124,32.216179,10.561889
19.2,165.656354,27.466584,5.787985
19.4,162.844535,12.747919,-18.234459
