time,VN_m_per_sec,VE_m_per_sec,VD_m_per_sec,V_m_per_sec
0,0,0,0,0
0.0125,30.865824,0.023435,-0.192829,30.866435
0.025,30.860549,0.163623,-0.577433,30.866384
0.0375,30.848222,0.441982,-0.958873,30.866285
0.05,30.825419,0.85447,-1.335032,30.866145
0.0625,30.787321,1.395006,-1.703788,30.865969
0.075,30.728076,2.055471,-2.063041,30.86577
0.0875,30.64125,2.825737,-2.410744,30.865558
0.1,30.520336,3.693747,-2.744966,30.865345
0.1125,30.3593,4.645654,-3.063965,30.865143
0.125,30.153111,5.666047,-3.366278,30.864964
0.1375,29.898237,6.738249,-3.650817,30.864819
0.15,29.593052,7.844698,-3.916966,30.864715
0.1625,29.238137,8.967388,-4.164668,30.864658
0.175,28.836445,10.08834,-4.3945,30.864653
0.1875,28.393319,11.190089,-4.607711,30.864699
0.2,27.916351,12.256136,-4.806245,30.864794
0.2125,27.415113,13.271338,-4.992716,30.864933
0.225,26.900758,14.222218,-5.170356,30.865107
0.2375,26.385531,15.097156,-5.34293,30.865308
0.25,25.882224,15.886477,-5.514613,30.865524
0.2625,25.403605,16.582415,-5.689858,30.865744
0.275,24.961863,17.178989,-5.873231,30.865954
0.2875,24.568082,17.671795,-6.069248,30.866143
0.3,24.231791,18.057763,-6.282201,30.866301
0.3125,23.960581,18.334891,-6.515989,30.866418
0.325,23.759824,18.502012,-6.773958,30.86649
0.3375,23.632475,18.558599,-7.058754,30.866511
0.35,23.578982,18.504648,-7.372194,30.86648
0.3625,23.597287,18.340637,-7.715166,30.866401
0.375,23.682927,18.067582,-8.087552,30.866277
0.3875,23.829222,17.687166,-8.488192,30.866115
0.4,24.027557,17.201937,-8.914891,30.865926
0.4125,24.267739,16.615547,-9.364461,30.86572
0.425,24.538434,15.933002,-9.832822,30.86551
0.4375,24.827652,15.160893,-10.315142,30.865306
0.45,25.123275,14.307573,-10.806024,30.865122
0.4625,25.413597,13.38326,-11.299719,30.864967
0.475,25.687845,12.400028,-11.790377,30.864852
0.4875,25.936659,11.371698,-12.272285,30.864782
0.5,26.152484,10.313609,-12.740116,30.864762
0.5125,26.329871,9.242297,-13.189136,30.864793
0.525,26.465642,8.175085,-13.615367,30.864874
0.5375,26.558927,7.12963,-14.015707,30.865001
0.55,26.611056,6.123451,-14.387963,30.865165
0.5625,26.625331,5.173469,-14.730833,30.86536
0.575,26.606679,4.295592,-15.043806,30.865573
0.5875,26.561232,3.50436,-15.327019,30.865792
0.6,26.495847,2.812674,-15.581056,30.866006
0.6125,26.417606,2.23159,-15.806726,30.866203
0.625,26.333337,1.770201,-16.004831,30.866371
0.6375,26.249167,1.435564,-16.175947,30.866501
0.65,26.170149,1.232683,-16.320231,30.866586
0.6625,26.099969,1.164502,-16.437272,30.866622
0.675,26.040752,1.231922,-16.526009,30.866606
0.6875,25.992978,1.433809,-16.58471,30.86654
0.7,25.9555,1.766995,-16.611022,30.866427
0.7125,25.925676,2.226286,-16.602104,30.866274
0.725,25.899587,2.804466,-16.554814,30.86609
