Time,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9
0,0,0,0,101.269,0,0,0,0,0
0.1,0.0609451,0.0943602,0.135736,101.269,0,0,10.0534,0.432438,-0.53753
0.2,0.152004,0.159477,0.432638,101.269,0,0,19.6191,3.14434,-1.96639
0.3,0.24276,0.208697,0.647703,101.269,0,0,28.0038,8.32309,-4.01769
0.4,0.284233,0.300492,0.61164,101.269,0,0,35.7992,14.2525,-6.43794
0.5,0.243855,0.433617,0.35675,101.269,0,0,44.3108,18.8822,-9.15348
0.6,0.174002,0.533608,0.0943491,101.269,0,0,53.6238,21.1806,-12.2017
0.7,0.217493,0.568389,0.0760656,101.269,0,0,63.0755,22.2755,-15.5575
0.8,0.400769,0.512839,0.327805,101.269,0,0,72.236,24.5541,-19.0521
0.9,0.571265,0.377364,0.598316,101.269,0,0,80.398,29.3704,-22.4025
1,0.648618,0.301389,0.671071,101.269,0,0,87.4655,35.9355,-25.3405
1.1,0.647528,0.367594,0.506726,101.269,0,0,94.8453,42.3817,-27.6933
1.2,0.576068,0.486606,0.210106,101.269,0,0,103.656,46.924,-29.3413
1.3,0.526424,0.513014,0.000845999,101.269,0,0,113.427,49.2244,-30.195
1.4,0.59308,0.391568,0.0372444,101.269,0,0,123.327,51.1361,-30.1696
1.5,0.69172,0.150509,0.20875,101.269,0,0,132.577,54.9302,-29.1434
1.6,0.74999,-0.0729852,0.315101,101.269,0,0,140.331,60.984,-27.0384
1.7,0.812908,-0.133196,0.235278,101.269,0,0,147.093,67.7683,-23.8796
1.8,0.884226,-0.0141676,0.000824317,101.269,0,0,154.331,73.3785,-19.7045
1.9,0.921308,0.13902,-0.237792,101.269,0,0,162.347,76.6185,-14.565
2,0.956777,0.141835,-0.345713,101.269,0,0,170.338,78.1115,-8.5976
2.1,1.00982,-0.0579932,-0.299547,101.269,0,0,177.735,79.7768,-1.95468
2.2,1.04232,-0.333179,-0.19769,101.269,0,0,184.057,82.8497,5.25739
2.3,1.08082,-0.474422,-0.160796,101.269,0,0,189.199,86.8786,12.9413
2.4,1.16698,-0.370362,-0.241186,101.269,0,0,194.048,90.5466,20.9873
2.5,1.24564,-0.105192,-0.348321,101.269,0,0,199.408,92.6431,29.2516
2.6,1.29905,0.0936433,-0.393892,101.269,0,0,205.14,92.8358,37.5384
2.7,1.35537,0.0532894,-0.349781,101.269,0,0,211.086,92.1215,45.6587
2.8,1.4011,-0.193361,-0.249973,101.269,0,0,217.437,92.037,53.4875
2.9,1.41802,-0.431391,-0.138041,101.269,0,0,224.071,93.3584,60.9626
3,1.42875,-0.449229,-0.0447873,101.269,0,0,230.995,95.3175,68.0348
3.1,1.45841,-0.22232,0.0208091,101.269,0,0,238.606,96.1543,74.5726
3.2,1.5062,0.0660102,0.0915793,101.269,0,0,246.672,94.5341,80.356
3.3,1.57239,0.176445,0.187294,101.269,0,0,254.747,90.9385,85.2038
3.4,1.63585,0.0162911,0.280578,101.269,0,0,263.357,87.3619,89.0289
3.5,1.67952,-0.279517,0.350662,101.269,0,0,272.889,85.826,91.828
3.6,1.7044,-0.46549,0.422236,101.269,0,0,282.755,86.6174,93.7172
3.7,1.7141,-0.392364,0.520451,101.269,0,0,292.706,87.8191,94.8516
