Time,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9
0,0.609451,0.943602,1.35736,0,0,0,100.534,4.32438,-5.3753
0.1,0.910594,0.65117,2.96902,0,0,0,95.6572,27.119,-14.2886
0.2,0.907555,0.4922,2.15064,0,0,0,83.8467,51.7874,-20.513
0.3,0.414726,0.917944,-0.360629,0,0,0,77.9547,59.2942,-24.2025
0.4,-0.403777,1.33125,-2.5489,0,0,0,85.1156,46.2965,-27.1554
0.5,-0.698532,0.999915,-2.62401,0,0,0,93.1296,22.9842,-30.4817
0.6,0.434917,0.347807,-0.182835,0,0,0,94.5177,10.9493,-33.5588
0.7,1.83276,-0.555501,2.51739,0,0,0,91.6047,22.7857,-34.9461
0.8,1.70496,-1.35475,2.70511,0,0,0,81.6202,48.1634,-33.5039
0.9,0.773525,-0.759749,0.727554,0,0,0,70.6751,65.6509,-29.38
1,-0.0108964,0.66205,-1.64346,0,0,0,73.7975,64.4624,-23.5281
1.1,-0.714604,1.19012,-2.9662,0,0,0,88.1108,45.4227,-16.4794
1.2,-0.496439,0.264085,-2.0926,0,0,0,97.7033,23.0043,-8.53727
1.3,0.666559,-1.21446,0.363984,0,0,0,99.0073,19.117,0.253766
1.4,0.986401,-2.4106,1.71505,0,0,0,92.4937,37.9403,10.2626
1.5,0.582707,-2.23494,1.06352,0,0,0,77.5422,60.5383,21.0495
1.6,0.629177,-0.602112,-0.798237,0,0,0,67.6233,67.8427,31.5884
1.7,0.713181,1.19029,-2.34453,0,0,0,72.3728,56.1025,41.7512
1.8,0.370823,1.53187,-2.38616,0,0,0,80.1593,32.4,51.3946
1.9,0.354686,0.0281535,-1.07922,0,0,0,79.9108,14.9296,59.6739
2,0.530465,-1.99828,0.461663,0,0,0,73.9744,16.6529,66.4293
2.1,0.324943,-2.75186,1.01857,0,0,0,63.2191,30.7293,72.1207
2.2,0.384998,-1.41243,0.368942,0,0,0,51.4192,40.2893,76.8391
2.3,0.8616,1.04061,-0.8039,0,0,0,48.4943,36.6797,80.4599
2.4,0.786643,2.65169,-1.07135,0,0,0,53.5975,20.9648,82.6431
2.5,0.534069,1.98836,-0.455709,0,0,0,57.3238,1.92733,82.8677
2.6,0.563167,-0.40354,0.441106,0,0,0,59.4563,-7.14319,81.203
2.7,0.457311,-2.46651,0.99808,0,0,0,63.5108,-0.844647,78.288
2.8,0.169208,-2.3803,1.11932,0,0,0,66.3394,13.2137,74.7516
2.9,0.10735,-0.178382,0.932539,0,0,0,69.2341,19.5914,70.7214
3,0.296544,2.26909,0.655964,0,0,0,76.1159,8.36794,65.378
3.1,0.477933,2.8833,0.707702,0,0,0,80.6608,-16.2027,57.834
3.2,0.661922,1.10435,0.957143,0,0,0,80.752,-35.9554,48.4781
3.3,0.634586,-1.60154,0.932846,0,0,0,86.0995,-35.7666,38.2508
3.4,0.43665,-2.95808,0.70084,0,0,0,95.3203,-15.3586,27.991
3.5,0.248882,-1.85974,0.715737,0,0,0,98.6574,7.91385,18.8927
3.6,0.096911,0.731258,0.982153,0,0,0,99.5091,12.0171,11.344
3.7,0.234131,2.6142,1.09083,0,0,0,100.132,-7.88893,4.46286
3.8,0.509433,2.19167,0.905882,0,0,0,94.4132,-34.7964,-2.17289
3.9,0.552892,-0.127982,0.270682,0,0,0,89.5105,-45.9249,-7.99451
4,0.555967,-2.31685,-0.600652,0,0,0,94.2882,-33.0768,-12.085
4.1,0.833769,-2.49725,-1.08034,0,0,0,99.5213,-5.50416,-13.3243
4.2,0.782142,-0.550062,-0.597434,0,0,0,99.3172,13.6946,-11.3686
4.3,0.32486,1.83339,0.564572,0,0,0,100.191,8.07289,-7.19434
4.4,0.385687,2.7784,0.976155,0,0,0,98.9919,-17.3382,-2.18111
4.5,0.523839,1.63822,0.188889,0,0,0,92.4801,-40.0574,2.67697
4.6,0.308073,-0.447722,-1.40985,0,0,0,91.4879,-41.7819,7.71235
4.7,0.433376,-1.65632,-2.48793,0,0,0,97.1205,-21.6814,14.455
4.8,0.739288,-0.921538,-2.1264,0,0,0,97.8727,3.48723,23.4742
4.9,0.58211,0.99476,-0.3982,0,0,0,94.525,10.8675,33.532
5,0.645825,2.42693,1.3008,0,0,0,90.761,-6.0598,42.9402
5.1,1.01637,2.263,1.58594,0,0,0,80.9253,-32.5085,50.1193
5.2,0.441526,0.908108,-0.140303,0,0,0,70.3223,-47.6007,54.5033
5.3,-0.656376,-0.556976,-2.45828,0,0,0,70.3525,-43.9998,57.325
5.4,-0.590948,-1.24452,-2.82719,0,0,0,76.1517,-27.375,60.0222
5.5,0.152763,-0.406235,-1.19819,0,0,0,77.8821,-13.9772,62.6357
5.6,0.943888,1.01046,1.19885,0,0,0,75.5236,-18.6761,64.1516
5.7,1.83546,1.31016,2.87686,0,0,0,67.6542,-38.971,63.4888
5.8,1.63846,0.364611,2.11109,0,0,0,55.9201,-58.1484,60.4434
5.9,0.11658,-0.495474,-0.799628,0,0,0,54.1692,-64.3625,55.7357
6,-0.736416,-1.14763,-2.81736,0,0,0,67.7425,-55.3318,49.8188
6.1,-0.222636,-1.32392,-2.20967,0,0,0,83.3791,-36.9149,42.7409
6.2,0.551046,-0.795861,0.199172,0,0,0,90.6194,-27.8811,34.5674
6.3,0.941626,-0.452942,2.51078,0,0,0,88.5451,-40.7649,25.1005
6.4,0.855249,-0.689734,2.83049,0,0,0,75.7588,-64.4894,14.5759
6.5,0.571447,-0.961813,0.837512,0,0,0,63.1716,-78.5517,4.00865
