Time,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9
15.2,0.36403,-2.49065,0.909371,0,0,0,69.0603,31.1395,75.7486
15.4,0.772115,0.722621,-0.625891,0,0,0,54.112,39.1467,84.9952
15.6,0.599461,1.90722,-0.512033,0,0,0,61.5864,5.48455,87.9245
15.8,0.438278,-2.07559,0.942174,0,0,0,68.4844,-0.108449,83.3905
16,0.129445,-0.364544,0.958095,0,0,0,75.3115,19.2697,75.3417
16.2,0.470422,2.63553,0.682134,0,0,0,85.9244,-13.74,61.7727
16.4,0.623912,-1.21177,0.947704,0,0,0,93.5831,-35.6199,41.0714
16.6,0.264969,-1.8374,0.761637,0,0,0,105.566,4.70149,20.2802
16.8,0.244571,2.25036,1.03512,0,0,0,106.984,-6.42379,4.50042
17,0.548069,0.115248,0.315212,0,0,0,98.9308,-44.8013,-8.85981
17.2,0.757545,-2.31432,-0.924336,0,0,0,105.694,-8.53494,-14.8533
17.4,0.425082,1.48632,0.363301,0,0,0,108.188,8.20032,-8.84868
17.6,0.468561,1.67966,0.169032,0,0,0,101.823,-37.2301,1.82192
17.8,0.429206,-1.41305,-2.24953,0,0,0,104.134,-23.3928,14.7842
18,0.623846,0.759455,-0.593625,0,0,0,103.197,9.70501,35.0399
18.2,0.86914,2.20988,1.34337,0,0,0,88.734,-29.5937,53.3289
18.4,-0.435579,-0.400024,-2.05419,0,0,0,77.9409,-45.3846,62.0541
18.6,0.0847776,-0.462933,-1.2879,0,0,0,84.0302,-17.2874,67.954
18.8,1.62219,1.22778,2.46587,0,0,0,73.7567,-38.7432,69.253
19,0.338093,-0.414481,-0.416602,0,0,0,61.87,-66.8111,61.4633
19.2,-0.245356,-1.28444,-2.09634,0,0,0,88.1438,-41.8002,47.6107
19.4,0.860943,-0.488613,2.12824,0,0,0,95.9084,-43.3903,28.7303
19.6,0.639,-0.89338,0.999849,0,0,0,73.2559,-81.4405,5.96502
19.8,0.890477,-0.724937,-2.66928,0,0,0,87.9641,-60.6443,-17.1558
20,0.280845,-0.949072,0.61663,0,0,0,97.9452,-33.7485,-38.1927
20.2,-0.473162,-0.846582,2.18707,0,0,0,71.1082,-62.8895,-54.2701
20.4,1.70929,0.573891,-2.36092,0,0,0,67.7432,-56.6613,-65.0837
20.6,0.72694,0.518842,-0.458963,0,0,0,85.3343,-19.1099,-67.4502
20.8,-0.644682,-0.894022,2.7336,0,0,0,82.6669,-36.1251,-62.3601
21,0.654247,1.31785,-0.46871,0,0,0,82.9646,-47.4004,-55.6726
21.2,0.646801,1.92162,-0.813268,0,0,0,101.582,-1.9457,-41.0361
21.4,0.631175,-1.06352,2.26856,0,0,0,107.692,-6.73665,-19.7062
21.6,0.407855,0.262124,0.886094,0,0,0,101.215,-45.8828,-3.97577
21.8,0.335565,2.42058,-0.916434,0,0,0,108.469,-11.8078,6.74873
22,0.829899,-1.1423,0.800624,0,0,0,109.969,5.35588,15.6115
22.2,0.577908,-1.58099,0.360493,0,0,0,101.242,-42.189,14.0793
22.4,0.386273,2.27427,-1.02852,0,0,0,105.663,-30.5153,2.11786
22.6,0.143882,-0.134418,-0.902256,0,0,0,110.729,8.29261,-13.3294
22.8,0.505327,-2.51687,-0.696142,0,0,0,101.475,-26.6135,-33.075
23,0.596696,1.63088,-0.937227,0,0,0,89.9148,-35.1206,-55.6266
23.2,0.227061,1.43675,-0.805856,0,0,0,83.1495,9.7111,-73.3182
23.4,0.298002,-2.41115,-0.998774,0,0,0,73.4014,6.37129,-83.6276
23.6,0.549508,0.362017,-0.164533,0,0,0,65.6261,-7.43037,-90.5378
23.8,0.774421,2.13247,0.90388,0,0,0,58.539,25.5771,-91.1038
24,0.389447,-1.84152,-0.508467,0,0,0,63.3127,38.079,-83.9954
24.2,0.458749,-1.33204,0.0913336,0,0,0,84.4021,15.2946,-71.9608
24.4,0.474138,1.48426,2.30578,0,0,0,86.8055,41.8188,-54.4194
24.6,0.606645,-1.11547,0.246099,0,0,0,81.7843,70.1283,-32.0669
24.8,0.847219,-2.05672,-1.16996,0,0,0,105.607,32.8901,-8.44355
25,-0.53979,0.654693,2.32494,0,0,0,106.548,31.688,11.5825
25.2,0.243456,0.220101,0.868906,0,0,0,84.1825,69.6555,27.5451
25.4,1.68525,-1.18341,-2.54597,0,0,0,95.9478,41.8246,37.0103
25.6,0.0877905,0.589336,0.926904,0,0,0,106.589,14.8964,35.1044
25.8,-0.0922722,1.25825,1.75676,0,0,0,94.427,53.8133,27.6478
26,0.882125,0.445366,-2.40794,0,0,0,100.05,46.6891,18.5626
26.2,0.616408,0.92273,-0.518198,0,0,0,113.198,3.93162,-0.137592
26.4,0.92117,0.713122,2.64795,0,0,0,102.873,37.4361,-20.1993
26.6,0.117471,1.00863,-1.10879,0,0,0,91.629,60.0787,-30.3827
26.8,-0.335481,0.718099,-1.84908,0,0,0,104.394,21.0552,-37.6791
27,1.80254,-0.705498,2.58772,0,0,0,98.7307,34.4652,-41.1413
27.2,0.544377,-0.289525,-0.0151525,0,0,0,81.5988,72.314,-33.4239
27.4,-0.660591,0.765208,-2.69846,0,0,0,102.168,42.4666,-18.1765
27.6,0.78978,-1.55841,0.854107,0,0,0,109.957,29.3206,1.40946
27.8,0.619781,-1.67952,0.514113,0,0,0,85.1059,70.5339,25.1764
28,0.597283,1.1989,-2.38465,0,0,0,85.9388,54.7079,48.5392
28.2,0.435019,-0.647615,-0.564907,0,0,0,90.2503,18.5657,68.008
28.4,0.319254,-2.26966,0.875356,0,0,0,68.8585,38.7166,81.7073
28.6,0.868926,1.51705,-0.945721,0,0,0,59.1544,36.8183,90.5347
28.8,0.562297,1.19542,-0.196328,0,0,0,67.8706,-0.108906,91.9254
29,0.327693,-2.38131,1.10317,0,0,0,74.8221,5.54951,85.9582
29.2,0.17346,0.633183,0.832022,0,0,0,83.0294,19.3407,76.7254
29.4,0.537976,2.30755,0.71952,0,0,0,92.8451,-23.932,60.4836
29.6,0.562825,-1.9884,0.927909,0,0,0,103.112,-31.0879,37.7059
29.8,0.195255,-0.983815,0.848277,0,0,0,113.018,11.5367,16.7452
30,0.352708,2.4783,0.949042,0,0,0,111.912,-16.9574,0.7589
30.2,0.549264,-0.827332,0.0158206,0,0,0,105.71,-44.8935,-12.4232
30.4,0.778413,-1.8711,-0.848454,0,0,0,112.909,2.56456,-16.0844
30.6,0.375137,2.13606,0.613837,0,0,0,114.274,1.61251,-7.74351
30.8,0.436676,0.947764,-0.371217,0,0,0,107.268,-43.1738,3.80648
31,0.52237,-1.47969,-2.30309,0,0,0,111.509,-12.6362,19.256
31.2,0.598197,1.45253,0.086762,0,0,0,107.717,8.23254,41.573
31.4,0.789901,1.85411,0.924393,0,0,0,90.1351,-39.4028,59.1553
31.6,-0.595094,-0.874202,-2.51062,0,0,0,84.3373,-41.2407,67.3579
31.8,0.400022,0.0470315,-0.431584,0,0,0,88.788,-15.7852,73.4209
32,1.70886,1.09334,2.53301,0,0,0,73.8009,-49.0285,73.0083
32.2001,-0.1289,-0.761961,-1.38843,0,0,0,69.6135,-68.2077,63.2752
