time,VN_m_per_sec,VE_m_per_sec,VD_m_per_sec,V_m_per_sec
2.75,29.32571,-9.583547,0.759644,30.861281
2.775,29.451383,-8.804685,2.725404,30.859913
2.8,29.422184,-7.942317,4.85226,30.859192
2.825,29.222028,-7.023862,7.002369,30.859273
2.85,28.872875,-6.082953,9.038934,30.860129
2.875,28.431826,-5.155072,10.839393,30.86156
2.9,27.979952,-4.272271,12.304856,30.863239
2.925,27.605837,-3.458546,13.363789,30.86478
2.95,27.387844,-2.727006,13.970289,30.865831
2.975,27.378871,-2.079275,14.099404,30.86615
3,27.596245,-1.506859,13.742832,30.865657
3.025,28.018202,-0.993821,12.907644,30.864455
3.05,28.58746,-0.520011,11.618928,30.862805
3.075,29.221499,-0.064203,9.924992,30.861069
3.1,29.828139,0.393296,7.902157,30.859628
3.125,30.323637,0.868871,5.655761,30.8588
3.15,30.649355,1.374743,3.315183,30.858764
3.175,30.782806,1.918978,1.023031,30.859524
3.2,30.740056,2.506042,-1.079,30.860906
3.225,30.568855,3.137473,-2.863784,30.862597
3.25,30.334561,3.812202,-4.228625,30.864214
3.275,30.102773,4.526208,-5.099919,30.865396
3.3,29.923066,5.271533,-5.433542,30.865877
3.325,29.817467,6.035058,-5.213329,30.865548
3.35,29.775891,6.797745,-4.450105,30.864485
3.375,29.759263,7.535176,-3.182377,30.862925
3.4,29.709628,8.220012,-1.477907,30.861219
3.425,29.565151,8.826417,0.566078,30.859751
3.45,29.276666,9.335739,2.826579,30.858852
3.475,28.82169,9.74205,5.163702,30.858729
3.5,28.212099,10.055835,7.433783,30.859414
3.525,27.493316,10.304522,9.503729,30.860759
3.55,26.73526,10.529413,11.262737,30.862468
3.575,26.017654,10.779578,12.628501,30.864165
3.6,25.413564,11.104026,13.54729,30.865477
3.625,24.974978,11.543671,13.989691,30.86612
3.65,24.723171,12.124412,13.945276,30.865956
3.675,24.645248,12.852336,13.419364,30.865031
3.7,24.697188,13.711835,12.433574,30.863559
3.725,24.812789,14.667183,11.029721,30.861878
3.75,24.917129,15.667805,9.274646,30.860371
3.775,24.942147,16.656664,7.26267,30.859384
3.8,24.841082,17.580251,5.112957,30.859146
3.825,24.598326,18.397749,2.960994,30.859719
3.85,24.232153,19.086867,0.945801,30.860983
3.875,23.789664,19.644582,-0.803782,30.86266
3.9,23.335501,20.082606,-2.180253,30.864384
3.925,22.937411,20.419025,-3.103958,30.865774
3.95,22.652188,20.668693,-3.525043,30.866526
3.975,22.514832,20.83524,-3.422659,30.866479
4,22.532707,20.907039,-2.803739,30.865646
4.025,22.685329,20.858485,-1.702796,30.86422
4.05,22.929617,20.656585,-0.182558,30.86252
4.075,23.209654,20.27147,1.666297,30.860931
4.1,23.46915,19.688185,3.728569,30.859809
4.125,23.664001,18.916433,5.87254,30.859408
4.15,23.771929,17.995265,7.962049,30.859818
4.175,23.796653,16.991122,9.870112,30.860946
4.2,23.765441,15.989645,11.490492,30.86254
4.225,23.720752,15.083473,12.744253,30.864238
4.25,23.70826,14.359071,13.580297,30.865661
4.275,23.764361,13.885243,13.971224,30.866485
4.3,23.906059,13.70488,13.907514,30.866524
4.325,24.125434,13.830397,13.393241,30.865763
4.35,24.389887,14.242733,12.445368,30.864368
4.375,24.648363,14.893762,11.096703,30.862644
4.4,24.842634,15.712135,9.400625,30.860969
4.425,24.92149,16.612324,7.434503,30.859712
4.45,24.85463,17.505882,5.298904,30.859146
4.475,24.642618,18.312936,3.111242,30.859392
4.5,24.320069,18.971245,0.994757,30.860386
4.525,23.950977,19.440536,-0.934316,30.861897
4.55,23.61738,19.701126,-2.577892,30.863579
4.575,23.404195,19.747722,-3.86293,30.865047
4.6,23.383693,19.580867,-4.743449,30.865964
4.625,23.602535,19.199173,-5.198983,30.866119
4.65,24.073376,18.595117,-5.231763,30.865469
4.675,24.772094,17.75596,-4.864674,30.864151
4.7,25.641127,16.66967,-4.140731,30.862452
4.725,26.598786,15.334108,-3.123349,30.860746
4.75,27.553471,13.766475,-1.895633,30.859407
4.775,28.420387,12.009688,-0.556945,30.85873
4.8,29.13714,10.133201,0.783974,30.858861
4.825,29.674205,8.227561,2.018417,30.859767
4.85,30.037362,6.394187,3.047527,30.86124
4.875,30.261405,4.733303,3.790081,30.862947
4.9,30.397019,3.333177,4.186739,30.864504
4.925,30.494529,2.2627,4.200797,30.86556
