time,phi_deg,theta_deg,psi_deg
0,0,0,0
0.1,3.491896,5.40644,7.777086
0.2,8.709213,9.137372,24.788343
0.3,13.909121,11.95747,37.110618
0.4,16.285326,17.216899,35.044368
0.5,13.971857,24.844394,20.440265
0.6,9.969563,30.573483,5.405803
0.7,12.461449,32.566272,4.358233
0.8,22.962376,29.383488,18.781828
0.9,32.73107,21.621351,34.280978
1,37.163048,17.268303,38.449567
1.1,37.100621,21.061565,29.033262
1.2,33.006248,27.880449,12.038219
1.3,30.161857,29.393553,0.048479
1.4,33.980949,22.43523,2.133935
1.5,39.632612,8.623541,11.960455
1.6,42.971277,-4.181737,18.053979
1.7,46.576193,-7.631608,13.480444
1.8,50.662424,-0.811775,0.047262
1.9,52.787091,7.965209,-13.624428
2,54.819287,8.126549,-19.807919
2.1,57.858626,-3.322738,-17.1628
2.2,59.720417,-19.089709,-11.326835
2.3,61.926293,-27.182356,-9.212958
2.4,66.862899,-21.22011,-13.81897
2.5,71.370023,-6.02702,-19.957339
2.6,74.430012,5.365385,-22.568344
2.7,77.656723,3.053211,-20.04097
2.8,80.276916,-11.078859,-14.322379
2.9,81.246398,-24.716922,-7.909149
3,81.861474,-25.738865,-2.566108
3.1,83.560555,-12.737827,1.192276
3.2,86.298923,3.78224,5.247115
3.3,90.09146,10.109567,10.731148
3.4,93.727358,0.933251,16.07595
3.5,96.229166,-16.015291,20.091465
3.6,97.655138,-26.670634,24.192356
3.7,98.2104,-22.480622,29.819692
3.8,99.551901,-7.502262,36.069669
3.9,102.470758,5.054917,41.259951
4,105.638591,4.32138,42.810765
4.1,108.824064,-8.953341,39.369213
4.2,113.60123,-23.261428,33.179298
4.3,118.082536,-26.412828,29.756349
4.4,119.943824,-15.908066,32.991193
4.5,122.153673,0.010959,38.584124
4.6,125.15504,9.397038,39.66623
4.7,126.920157,6.831562,31.588207
4.8,129.403274,-2.658503,17.333367
4.9,133.639098,-7.938328,5.150159
5,136.974317,-2.238523,2.868901
5.1,140.674667,11.666855,10.322093
5.2,146.498037,24.632744,19.40875
5.3,149.027626,29.835595,18.604505
5.4,145.26679,26.644158,4.519347
5.5,141.88103,19.513585,-11.679115
5.6,142.756431,17.186262,-18.543872
5.7,148.164654,22.975949,-11.674595
5.8,158.681142,30.482555,4.808687
5.9,168.068602,32.571445,16.903926
6,168.736284,29.732458,12.32185
6.1,164.516943,23.156927,-3.820545
6.2,163.241516,15.57146,-16.480661
6.3,166.3989,11.011635,-15.33894
6.4,171.794037,8.416482,-0.952908
6.5,176.694182,4.46454,15.264423
