Time,Value_1,Value_2,Value_3
3.97501,0.523599,0.259282,0.769503
4.00001,0.523599,0.212891,1.43336
4.02501,0.523599,0.166014,2.01591
4.05001,0.523599,0.118758,2.48412
4.07501,0.523599,0.0712322,2.81141
4.10001,0.523599,0.0235437,2.97923
4.12501,0.523599,-0.0241984,2.97806
4.15001,0.523599,-0.0718854,2.80797
4.17501,0.523599,-0.119409,2.47859
4.20001,0.523599,-0.166659,2.00863
4.22501,0.523599,-0.213531,1.42472
4.25001,0.523599,-0.259915,0.760004
4.27501,0.523599,-0.305707,0.0521745
4.30001,0.523599,-0.350802,-0.658614
4.32501,0.523599,-0.395098,-1.33204
4.35001,0.523599,-0.438493,-1.92992
4.37501,0.523599,-0.480888,-2.41832
4.40001,0.523599,-0.522188,-2.76954
4.42501,0.523599,-0.562297,-2.96367
4.45001,0.523599,-0.601124,-2.98969
4.47501,0.523599,-0.638582,-2.84612
4.50001,0.523599,-0.674584,-2.54111
4.52501,0.523599,-0.709048,-2.09196
4.55001,0.523599,-0.741896,-1.52415
4.57501,0.523599,-0.773053,-0.86988
4.60001,0.523599,-0.802449,-0.16627
4.62501,0.523599,-0.830015,0.546771
4.65001,0.523599,-0.855689,1.2288
4.67501,0.523599,-0.879413,1.84112
4.70001,0.523599,-0.901132,2.34901
4.72501,0.523599,-0.920798,2.72366
4.75001,0.523599,-0.938364,2.94381
4.77501,0.523599,-0.953792,2.99698
4.80001,0.523599,-0.967046,2.88015
4.82501,0.523599,-0.978096,2.59994
4.85001,0.523599,-0.986916,2.17226
4.87501,0.523599,-0.993487,1.62137
4.90001,0.523599,-0.997793,0.978497
4.92501,0.523599,-0.999825,0.280125
4.95001,0.523599,-0.999578,-0.434137
4.97501,0.523599,-0.997053,-1.12377
5.00001,0.523599,-0.992255,-1.74966
5.02501,0.523599,-0.985196,-2.27631
5.05001,0.523599,-0.975891,-2.67383
5.07501,0.523599,-0.964361,-2.91969
5.10001,0.523599,-0.950634,-2.99993
5.12501,0.523599,-0.93474,-2.91
5.15001,0.523599,-0.916715,-2.65501
5.17501,0.523599,-0.8966,-2.24942
5.20001,0.523599,-0.874442,-1.71623
5.22501,0.523599,-0.850291,-1.0857
5.25001,0.523599,-0.824202,-0.393574
5.27501,0.523599,-0.796234,0.320873
5.30001,0.523599,-0.766452,1.01712
5.32501,0.523599,-0.734922,1.65567
5.35001,0.523599,-0.701717,2.20031
5.37501,0.523599,-0.666913,2.62013
5.40001,0.523599,-0.630589,2.89134
5.42501,0.523599,-0.592827,2.99854
5.45001,0.523599,-0.553715,2.93565
5.47501,0.523599,-0.51334,2.70624
5.50001,0.523599,-0.471795,2.32332
5.52501,0.523599,-0.429174,1.80862
5.55001,0.523599,-0.385576,1.19132
5.57501,0.523599,-0.341099,0.506453
5.60001,0.523599,-0.295844,-0.207145
5.62501,0.523599,-0.249914,-0.908993
5.65001,0.523599,-0.203416,-1.55928
5.67501,0.523599,-0.156453,-2.12112
5.70001,0.523599,-0.109134,-2.56264
5.72501,0.523599,-0.0615663,-2.8588
5.75001,0.523599,-0.0138582,-2.9928
5.77501,0.523599,0.0338816,-2.95704
5.80001,0.523599,0.0815441,-2.75354
5.82501,0.523599,0.129021,-2.39386
5.85001,0.523599,0.176203,-1.89838
5.87501,0.523599,0.222984,-1.29523
5.90001,0.523599,0.269257,-0.618599
5.92501,0.523599,0.314916,0.0931165
5.95001,0.523599,0.359857,0.79955
5.97501,0.523599,0.403978,1.46063
6.00001,0.523599,0.447178,2.03886
6.02501,0.523599,0.489359,2.50144
6.05001,0.523599,0.530425,2.82212
6.07501,0.523599,0.570281,2.98273
6.10001,0.523599,0.608838,2.97415
6.12501,0.523599,0.646007,2.79686
6.15001,0.523599,0.681703,2.46092
6.17501,0.523599,0.715846,1.9854
6.20001,0.523599,0.748357,1.39725
6.22501,0.523599,0.779162,0.729848
6.25001,0.523599,0.808191,0.0210466
6.27501,0.523599,0.835379,-0.688949
6.30001,0.523599,0.860662,-1.35987
6.32502,0.523599,0.883983,-1.95364
6.35002,0.523599,0.90529,-2.43661
6.37502,0.523599,0.924533,-2.78136
6.40002,0.523599,0.941669,-2.96834
6.42502,0.523599,0.956658,-2.98695
6.45002,0.523599,0.969467,-2.83612
6.47502,0.523599,0.980066,-2.52443
6.50002,0.523599,0.988432,-2.06954
6.52502,0.523599,0.994544,-1.49725
6.55002,0.523599,0.998389,-0.840041
6.57502,0.523599,0.999959,-0.135179
6.60002,0.523599,0.99925,0.57735
6.62502,0.523599,0.996263,1.25713
6.65002,0.523599,0.991005,1.8656
6.67502,0.523599,0.983489,2.36825
6.70002,0.523599,0.973731,2.73656
6.72502,0.523599,0.961753,2.94965
6.75002,0.523599,0.947583,2.99542
6.77502,0.523599,0.931253,2.87128
6.80002,0.523599,0.912801,2.58427
6.82502,0.523599,0.892268,2.15068
6.85002,0.523599,0.869702,1.59509
6.87502,0.523599,0.845153,0.949017
6.90002,0.523599,0.818678,0.249116
6.92502,0.523599,0.790336,-0.464915
6.95002,0.523599,0.760194,-1.15258
6.97502,0.523599,0.728318,-1.77486
7.00002,0.523599,0.694783,-2.29646
7.02502,0.523599,0.659664,-2.68781
7.05002,0.523599,0.623041,-2.92669
7.07502,0.523599,0.584998,-2.99956
7.10002,0.523599,0.545622,-2.90228
7.12502,0.523599,0.505002,-2.64038
7.15002,0.523599,0.463231,-2.2287
7.17502,0.523599,0.420405,-1.69061
7.20002,0.523599,0.37662,-1.05662
7.22502,0.523599,0.331976,-0.362692
7.25002,0.523599,0.286576,0.351807
7.27502,0.523599,0.240523,1.04635
7.30002,0.523599,0.193922,1.68154
7.32502,0.523599,0.146878,2.22135
7.35002,0.523599,0.0994998,2.63516
7.37502,0.523599,0.0518947,2.89949
7.40002,0.523599,0.00417137,2.99935
7.42502,0.523599,-0.0435615,2.92908
7.45002,0.523599,-0.0911951,2.69266
7.47502,0.523599,-0.138621,2.3035
7.50002,0.523599,-0.185731,1.78368
7.52502,0.523599,-0.232417,1.16269
7.55002,0.523599,-0.278574,0.475743
7.57502,0.523599,-0.324095,-0.238189
7.60002,0.523599,-0.368878,-0.93861
7.62502,0.523599,-0.412821,-1.58579
7.65002,0.523599,-0.455822,-2.14302
7.67502,0.523599,-0.497784,-2.57869
7.70002,0.523599,-0.538612,-2.86809
7.72502,0.523599,-0.578212,-2.99479
7.75002,0.523599,-0.616494,-2.95163
7.77502,0.523599,-0.653371,-2.74104
7.80002,0.523599,-0.688759,-2.37496
7.82502,0.523599,-0.722576,-1.87418
7.85002,0.523599,-0.754747,-1.26708
7.87502,0.523599,-0.785198,-0.588105
7.90002,0.523599,-0.813858,0.124226
7.92502,0.523599,-0.840664,0.829511
7.95002,0.523599,-0.865554,1.48774
7.97502,0.523599,-0.888471,2.06158
8.00002,0.523599,-0.909362,2.51848
8.02502,0.523599,-0.928181,2.83252
8.05002,0.523599,-0.944884,2.9859
8.07502,0.523599,-0.959433,2.96992
8.10002,0.523599,-0.971796,2.78547
8.12502,0.523599,-0.981944,2.44303
8.15002,0.523599,-0.989854,1.96202
8.17502,0.523599,-0.995507,1.36973
8.20002,0.523599,-0.998892,0.699734
8.22502,0.523599,-1,-0.00994691
8.25002,0.523599,-0.998829,-0.719064
8.27502,0.523599,-0.995381,-1.38739
8.30002,0.523599,-0.989664,-1.97703
8.32502,0.523599,-0.981692,-2.45453
8.35002,0.523599,-0.971482,-2.7928
8.37502,0.523599,-0.959058,-2.97266
8.40001,0.523599,-0.944449,-2.98391
8.42501,0.523599,-0.927686,-2.82591
8.45001,0.523599,-0.908809,-2.50761
8.47501,0.523599,-0.887861,-2.04709
8.50001,0.523599,-0.864889,-1.47045
8.52501,0.523599,-0.839946,-0.810401
8.55001,0.523599,-0.813089,-0.104388
8.57501,0.523599,-0.784378,0.607546
8.60001,0.523599,-0.753879,1.28502
8.62501,0.523599,-0.721663,1.8896
8.65001,0.523599,-0.687801,2.38701
8.67501,0.523599,-0.652372,2.74902
8.70001,0.523599,-0.615456,2.9551
8.72501,0.523599,-0.577137,2.99357
8.75001,0.523599,-0.537502,2.86223
8.77501,0.523599,-0.496643,2.56855
8.80001,0.523599,-0.454651,2.12918
8.82501,0.523599,-0.411624,1.56903
8.85001,0.523599,-0.367658,0.91989
8.87501,0.523599,-0.322854,0.218571
8.90001,0.523599,-0.277314,-0.495145
8.92501,0.523599,-0.231143,-1.18078
8.95001,0.523599,-0.184444,-1.79943
8.97501,0.523599,-0.137325,-2.31602
9.00001,0.523599,-0.0898933,-2.70124
9.02501,0.523599,-0.0422565,-2.93325
9.05,0.523599,0.00547667,-2.99888
9.075,0.523599,0.0531973,-2.8944
9.1,0.523599,0.100797,-2.62575
9.125,0.523599,0.148166,-2.20817
9.15,0.523599,0.195198,-1.66534
9.175,0.523599,0.241785,-1.02804
9.2,0.523599,0.287821,-0.332437
9.225,0.523599,0.333201,0.382026
9.25,0.523599,0.377822,1.07482
9.275,0.523599,0.421581,1.70665
9.3,0.523599,0.46438,2.24167
9.325,0.523599,0.50612,2.64955
9.35,0.523599,0.546706,2.90713
9.375,0.523599,0.586047,2.99983
9.4,0.523599,0.624052,2.92237
9.425,0.523599,0.660634,2.67914
9.45,0.523599,0.695711,2.28396
9.475,0.523599,0.729202,1.75922
9.5,0.523599,0.761031,1.1347
9.525,0.523599,0.791125,0.445819
9.55,0.523599,0.819416,-0.268351
9.575,0.523599,0.84584,-0.967299
9.6,0.523599,0.870336,-1.61138
9.625,0.523599,0.892848,-2.16406
9.65,0.523599,0.913325,-2.594
9.675,0.523599,0.93172,-2.8768
9.7,0.523599,0.947992,-2.99642
9.72499,0.523599,0.962103,-2.94608
9.74999,0.523599,0.974021,-2.72864
9.77499,0.523599,0.983719,-2.35643
9.79999,0.523599,0.991176,-1.85055
9.82499,0.523599,0.996373,-1.23971
9.84999,0.523599,0.999299,-0.558554
9.87499,0.523599,0.999947,0.154286
9.89999,0.523599,0.998316,0.858374
9.92499,0.523599,0.99441,1.51377
9.94999,0.523599,0.988238,2.08331
9.97499,0.523599,0.979813,2.53468
9.99999,0.523599,0.969155,2.84228
10.025,0.523599,0.956288,2.98866
10.05,0.523599,0.941241,2.96552
10.075,0.523599,0.924049,2.77417
10.1,0.523599,0.904751,2.42547
10.125,0.523599,0.883391,1.93919
10.15,0.523599,0.860017,1.34292
10.175,0.523599,0.834683,0.670477
10.2,0.523599,0.807447,-0.0399969
10.225,0.523599,0.77837,-0.748202
10.25,0.523599,0.747519,-1.41397
10.275,0.523599,0.714965,-1.99953
10.3,0.523599,0.680781,-2.47168
10.325,0.523599,0.645045,-2.80363
10.35,0.523599,0.607839,-2.97656
10.375,0.523599,0.569248,-2.98065
10.4,0.523599,0.529359,-2.81568
10.425,0.523599,0.488264,-2.49099
10.45,0.523599,0.446056,-2.02502
10.475,0.523599,0.402831,-1.44418
10.5,0.523599,0.358688,-0.781427
10.525,0.523599,0.313728,-0.0743501
10.55,0.523599,0.268052,0.636944
10.575,0.523599,0.221766,1.31211
