time,VN_m_per_sec,VE_m_per_sec,VD_m_per_sec,V_m_per_sec
0,0,0,0,0
0.1,30.76759,1.444739,-1.497441,30.837869
0.2,29.291441,8.429428,-3.993899,30.740771
0.3,25.722177,15.991649,-5.617315,30.804504
0.4,23.770135,18.150762,-7.620943,30.86338
0.5,25.243105,13.681475,-11.055701,30.767282
0.6,26.527401,5.81493,-14.485664,30.779066
0.7,26.167005,1.545106,-16.313792,30.874573
0.8,25.782691,4.919769,-16.124829,30.805217
0.9,24.656211,12.670342,-13.329242,30.759308
1,23.163984,17.793585,-9.96211,30.861391
1.1,24.018937,16.654983,-9.833798,30.83831
1.2,26.116441,9.918343,-12.846898,30.748737
1.3,26.769407,2.379972,-15.100861,30.82696
1.4,27.587378,0.000562,-13.827012,30.858543
1.5,29.363486,3.595595,-8.408634,30.754637
1.6,29.62714,8.322541,-0.926429,30.787828
1.7,29.34947,8.822236,3.684482,30.867436
1.8,30.432031,3.822479,2.601883,30.78132
1.9,30.451945,-3.803647,-2.099291,30.760294
2,29.068535,-9.174663,-4.845322,30.864726
2.1,29.092958,-10.031168,-1.714141,30.821467
2.2,29.222366,-7.415863,6.060078,30.751687
2.3,27.737707,-4.75138,12.633651,30.847449
2.4,27.365966,-5.372716,13.207888,30.857908
2.5,28.547395,-8.753862,7.389698,30.760226
2.6,28.641461,-11.374046,-0.278738,30.818499
2.7,28.564271,-11.357181,-2.934488,30.879028
2.8,29.330025,-9.147902,1.859235,30.779721
2.9,28.632035,-5.635901,9.789657,30.779769
3,27.512515,-2.446092,13.791408,30.872719
3.1,28.928878,-0.29545,10.581907,30.804935
3.2,30.626608,1.670425,2.229935,30.753082
3.3,30.250634,4.190918,-4.398778,30.854722
3.4,29.784581,7.151428,-3.572057,30.838673
3.5,28.972663,9.490282,4.001237,30.74883
3.6,26.428722,10.684968,11.732511,30.826899
3.7,24.779027,12.569326,13.448207,30.868145
3.8,24.883613,16.149698,8.168647,30.769039
3.9,23.995235,19.308299,0.24151,30.800001
4,22.676812,20.721162,-3.2031,30.884692
