time,PN_m,PE_m,PD_m,P_m
0,0,0,0,0
0.2,6.012528,1.0276,-0.542203,6.12376
0.4,10.987472,4.441661,-1.872899,11.99836
0.6,16.151343,6.394938,-4.428637,17.926906
0.8,21.388239,7.083731,-7.688155,23.80638
1,26.183697,10.128734,-10.030319,29.81249
1.2,31.223662,12.794237,-12.326909,35.924396
1.4,36.714451,13.070586,-15.235803,41.844006
1.6,42.630601,14.274711,-16.173912,47.777934
1.8,48.685201,15.554502,-15.577237,53.430718
2,54.689315,14.276629,-16.271583,58.81758
2.2,60.571933,12.539037,-15.831862,63.850093
2.4,66.165772,11.51751,-13.260732,68.457355
2.6,71.931169,9.512654,-12.560434,73.636595
2.8,77.821148,7.446605,-12.658061,79.194757
3,83.516752,6.637794,-10.316502,84.412904
3.2,89.54856,6.794113,-9.052059,90.260979
3.4,95.676328,7.948781,-9.833119,96.508202
3.6,101.284759,9.993303,-8.257193,102.110967
3.8,106.349948,12.928828,-6.081271,107.305396
4,111.105863,16.987788,-6.339986,112.575722
4.2,115.865077,20.813598,-5.337778,117.840629
4.4,120.811439,23.796604,-2.789065,123.164366
4.6,125.72716,27.595026,-2.639512,128.746927
4.8,131.10968,30.737571,-3.225087,134.703184
5,137.333477,31.530687,-2.586915,140.930338
5.2,143.316091,32.66311,-3.825375,147.040859
5.4,148.678132,34.21639,-6.812418,152.716592
5.6,154.450953,33.228548,-9.017282,158.242045
5.8,160.126627,32.266525,-11.518895,163.750879
6,165.379448,33.56001,-14.841669,169.401627
6.2,171.108141,33.239522,-17.300314,175.163246
6.4,177.186734,31.904348,-18.5738,180.991746
6.6,183.311307,33.337177,-19.042161,187.288565
6.8,189.50384,34.245488,-18.402127,193.450502
7,195.509888,32.716993,-16.940841,198.951024
7.2,201.131611,33.020996,-14.212602,204.319136
7.4,206.460162,34.126425,-10.926055,209.546629
7.6,212.21523,32.786881,-8.639105,214.906764
7.8,218.000061,32.361967,-6.189989,220.475939
8,223.417092,34.18433,-3.311015,226.04143
8.2,229.63371,35.028655,-2.643437,232.305047
8.4,235.896538,36.200094,-3.204858,238.679481
8.6,241.133604,39.768638,-2.449155,244.403269
8.8,246.210821,43.439626,-3.230698,250.034411
9,251.241026,46.446086,-5.875031,255.565663
9.2,256.066445,50.526752,-6.352005,261.08107
9.4,261.055888,54.531357,-6.494729,266.769614
9.6,266.30453,57.213663,-9.039181,272.531122
9.8,272.265475,59.167779,-10.025841,278.800704
10,278.625094,60.164995,-9.304608,285.198782
10.2,284.725817,60.133189,-11.19036,291.221592
10.4,290.716565,59.006959,-13.172579,296.936793
10.6,296.765014,56.787148,-12.785702,302.419787
10.8,302.722381,54.960528,-14.084659,307.993307
11,308.620594,53.859698,-16.568614,313.722898
11.2,314.743252,51.948893,-16.44207,319.42502
11.4,321.104497,51.156275,-15.983146,325.5465
11.6,327.390613,52.779777,-16.621659,332.034032
11.8,333.536092,53.692981,-15.084236,338.166816
12,339.233495,54.344096,-12.04071,343.769725
12.2,344.38342,57.598091,-9.905521,349.307314
12.4,349.55919,60.329334,-7.249595,354.801089
12.6,355.115494,60.979095,-3.881603,360.333916
12.8,360.469008,63.64992,-1.54559,366.04864
13,365.961956,66.957305,-0.357149,372.037043
13.2,372.450032,67.603022,0.005423,378.535593
13.4,378.658535,69.262912,-0.757094,384.941827
13.6,383.885349,72.881423,-2.384771,390.749728
13.8,389.469058,74.316482,-5.298957,396.531418
14,394.994671,75.363577,-8.612597,402.212177
14.2,400.055751,78.842142,-10.880492,407.895909
14.4,405.559692,81.014785,-13.506443,413.792803
14.6,411.516269,81.191723,-16.336513,419.767338
14.8,417.836793,82.772223,-16.759625,426.28595
15,424.331026,83.665659,-16.29246,432.807355
15.2,430.652157,81.973525,-17.090189,438.717465
15.4,436.85208,80.428613,-15.973879,444.481345
15.6,442.798226,79.330955,-13.33265,450.04603
