time,PN_m,PE_m,PD_m,P_m
0,0,0,0,0
0.025,0.771581,0.002339,-0.009628,0.771644
0.05,1.542502,0.018546,-0.038302,1.543089
0.075,2.311445,0.061678,-0.085387,2.313844
0.1,3.075965,0.143173,-0.149834,3.082938
0.125,3.83237,0.27207,-0.230212,3.848906
0.15,4.57601,0.454357,-0.324809,4.609968
0.175,5.301942,0.692554,-0.431798,5.364389
0.2,6.005812,0.985632,-0.549472,6.110905
0.225,6.68476,1.3293,-0.676511,6.84914
0.25,7.338107,1.716595,-0.81223,7.579857
0.275,7.967676,2.138613,-0.956769,8.304995
0.3,8.577676,2.585232,-1.111162,9.027437
0.325,9.174182,3.045693,-1.277287,9.750555
0.35,9.764326,3.508984,-1.457674,10.477588
0.375,10.35533,3.964087,-1.655209,11.211001
0.4,10.95354,4.4002,-1.872748,11.951945
0.425,11.563618,4.807057,-2.112714,12.699945
0.45,12.188004,5.175412,-2.376729,13.452924
0.475,12.826772,5.497703,-2.665355,14.207566
0.5,13.477885,5.768769,-2.97801,14.959968
0.525,14.137828,5.986487,-3.313067,15.706452
0.55,14.802453,6.152151,-3.668112,16.444349
0.575,15.467853,6.270515,-4.040295,17.172589
0.6,16.131066,6.349479,-4.426647,17.891964
0.625,16.790454,6.399502,-4.824292,18.605019
0.65,17.445696,6.432856,-5.230494,19.31559
0.675,18.097456,6.462813,-5.642536,20.028082
0.7,18.746812,6.502824,-6.057483,20.746633
0.725,19.394629,6.565709,-6.471945,21.474316
0.75,20.041015,6.662849,-6.881927,22.212536
0.775,20.685029,6.803409,-7.282876,22.960772
0.8,21.324703,6.993681,-7.669958,23.716719
0.825,21.957401,7.236625,-8.038554,24.476817
0.85,22.580431,7.531747,-8.384865,25.237057
0.875,23.191759,7.875316,-8.706526,25.993882
0.9,23.790656,8.260906,-9.003051,26.744959
0.925,24.378095,8.680115,-9.276051,27.489653
0.95,24.95683,9.123293,-9.529169,28.229115
0.975,25.531116,9.58015,-9.76777,28.965954
1,26.106138,10.04016,-9.998438,29.703602
1.025,26.687255,10.492803,-10.228363,30.445491
1.05,27.279192,10.927741,-10.464678,31.19422
1.075,27.885315,11.33504,-10.713803,31.950893
1.1,28.507144,11.705561,-10.980858,32.714777
1.125,29.144196,12.031505,-11.269202,33.483372
1.15,29.794226,12.307072,-11.580182,34.252891
1.175,30.453818,12.529077,-11.913098,35.019062
1.2,31.119218,12.697374,-12.265414,35.778058
1.225,31.787214,12.814967,-12.633129,36.527336
1.25,32.455852,12.887787,-13.011208,37.26619
1.275,33.124841,12.924186,-13.39398,37.9959
1.3,33.795553,12.934259,-13.775392,38.719451
1.325,34.470637,12.929102,-14.149136,39.440899
1.35,35.15335,12.920089,-14.508662,40.164511
1.375,35.846739,12.918183,-14.847191,40.893853
1.4,36.552866,12.933281,-15.157821,41.631014
1.425,37.272225,12.973602,-15.433799,42.376117
1.45,38.00351,13.045131,-15.668988,43.127246
1.475,38.743798,13.151194,-15.858446,43.880816
1.5,39.489118,13.292251,-15.999023,44.63231
1.525,40.235291,13.465941,-16.08982,45.377224
1.55,40.978818,13.667405,-16.132412,46.111997
1.575,41.71763,13.889787,-16.130794,46.834702
1.6,42.451482,14.124834,-16.091082,47.545369
1.625,43.181938,14.363466,-16.021074,48.245868
1.65,43.911944,14.596249,-15.929743,48.939412
1.675,44.645089,14.813783,-15.826745,49.629809
1.7,45.384729,15.007025,-15.721937,50.32061
1.725,46.133146,15.167631,-15.624898,51.014327
1.75,46.890917,15.288365,-15.544408,51.711902
1.775,47.656663,15.363544,-15.487896,52.412507
1.8,48.427227,15.389485,-15.460881,53.11376
1.825,49.198279,15.364816,-15.466515,53.812279
1.85,49.965201,15.290589,-15.505284,54.50447
1.875,50.724056,15.170113,-15.574964,55.187332
1.9,51.472394,15.008567,-15.670803,55.859095
1.925,52.209724,14.812457,-15.785898,56.519543
1.95,52.937525,14.589069,-15.911668,57.169954
1.975,53.658849,14.345994,-16.03836,57.812703
2,54.377586,14.09079,-16.155554,58.450613
2.025,55.097566,13.830764,-16.252667,59.086217
2.05,55.821687,13.572806,-16.319515,59.721088
2.075,56.551243,13.323217,-16.346934,60.355393
2.1,57.2856,13.08747,-16.327452,60.987765
2.125,58.022309,12.869896,-16.255931,61.615565
2.15,58.757636,12.673353,-16.13006,62.23546
2.175,59.487404,12.498944,-15.950578,62.844218
2.2,60.207951,12.345869,-15.72119,63.439527
2.225,60.916968,12.211463,-15.448187,64.020648
2.25,61.614041,12.09142,-15.139888,64.588766
2.275,62.300766,11.980168,-14.806036,65.146977
2.3,62.980458,11.871346,-14.457272,65.699922
2.325,63.65751,11.758324,-14.104722,66.25315
2.35,64.336558,11.634734,-13.759674,66.812337
2.375,65.021619,11.494974,-13.433261,67.382475
2.4,65.715367,11.334669,-13.136041,67.967196
2.425,66.418691,11.151034,-12.877442,68.568335
2.45,67.130638,10.943087,-12.665074,69.185821
2.475,67.848763,10.711667,-12.50404,69.817945
2.5,68.569792,10.459236,-12.396364,70.461918
2.525,69.29047,10.18949,-12.3407,71.11461
2.55,70.008352,9.906871,-12.332367,71.773272
2.575,70.722368,9.616076,-12.363709,72.436065
2.6,71.433023,9.321673,-12.424669,73.102276
2.625,72.142196,9.02787,-12.503484,73.77219
2.65,72.852597,8.738462,-12.587388,74.446651
2.675,73.567016,8.456885,-12.663305,75.126453
2.7,74.287532,8.186336,-12.718549,75.811708
2.725,75.014863,7.929841,-12.741539,76.501365
2.75,75.748005,7.690252,-12.722548,77.193028
2.775,76.48429,7.470135,-12.654413,77.883141
2.8,77.219845,7.271577,-12.533106,78.567544
2.825,77.950395,7.095981,-12.358047,79.242276
2.85,78.672217,6.943907,-12.132073,79.90446
2.875,79.383013,6.81503,-11.861089,80.553043
2.9,80.082512,6.708223,-11.553467,81.189233
2.925,80.772658,6.621759,-11.219372,81.816528
2.95,81.457354,6.553584,-10.870115,82.440338
