time,PN_m,PE_m,PD_m,P_m
0,0,0,0,0
0.0125,0.385823,0.000293,-0.00241,0.38583
0.025,0.77158,0.002338,-0.009628,0.771643
0.0375,1.157182,0.007863,-0.021614,1.157411
0.05,1.5425,0.018544,-0.038302,1.543087
0.0625,1.927342,0.035981,-0.059599,1.928599
0.075,2.311443,0.061675,-0.085387,2.313841
0.0875,2.694458,0.096997,-0.115522,2.698677
0.1,3.075962,0.143168,-0.149834,3.082936
0.1125,3.455454,0.201239,-0.188133,3.466418
0.125,3.832368,0.272065,-0.230212,3.848904
0.1375,4.206096,0.356293,-0.275847,4.230163
0.15,4.576009,0.454351,-0.324809,4.609967
0.1625,4.941485,0.566444,-0.376868,4.988102
0.175,5.301941,0.692548,-0.431799,5.364387
0.1875,5.656858,0.832424,-0.489395,5.738682
0.2,6.005812,0.985626,-0.549473,6.110905
0.2125,6.348501,1.151518,-0.611882,6.481038
0.225,6.68476,1.329295,-0.676512,6.84914
0.2375,7.014579,1.51801,-0.743298,7.215343
0.25,7.338107,1.716591,-0.812231,7.579856
0.2625,7.655652,1.923871,-0.883354,7.94296
0.275,7.967676,2.138608,-0.95677,8.304993
0.2875,8.274777,2.359506,-1.032635,8.666345
0.3,8.577674,2.585228,-1.111163,9.027435
0.3125,8.877181,2.814414,-1.192612,9.388695
0.325,9.174179,3.045689,-1.277287,9.750551
0.3375,9.469585,3.277672,-1.365521,10.113398
0.35,9.764322,3.50898,-1.457674,10.477583
0.3625,10.059288,3.738238,-1.554113,10.843384
0.375,10.355325,3.964082,-1.655208,11.210995
0.3875,10.65319,4.185172,-1.76131,11.580516
0.4,10.953535,4.400196,-1.872746,11.951938
0.4125,11.256882,4.607891,-1.989802,12.325151
0.425,11.563612,4.807053,-2.112712,12.699938
0.4375,11.873958,4.996564,-2.241652,13.07599
0.45,12.187999,5.175409,-2.376727,13.452918
0.4625,12.505668,5.3427,-2.517973,13.83027
0.475,12.826767,5.4977,-2.665353,14.20756
0.4875,13.150975,5.639846,-2.818757,14.584286
0.5,13.477881,5.768766,-2.978008,14.959962
0.5125,13.807004,5.884295,-3.142872,15.334143
0.525,14.137825,5.986484,-3.313064,15.706447
0.5375,14.469811,6.075604,-3.488261,16.076578
0.55,14.80245,6.152147,-3.66811,16.444344
0.5625,15.135266,6.216816,-3.852246,16.809666
0.575,15.46785,6.27051,-4.040293,17.172584
0.5875,15.799865,6.314315,-4.231881,17.533258
0.6,16.131063,6.349473,-4.426644,17.891959
0.6125,16.461283,6.377368,-4.624228,18.249059
0.625,16.79045,6.399496,-4.824289,18.605013
0.6375,17.118565,6.41744,-5.026488,18.960337
0.65,17.445691,6.432849,-5.230491,19.315583
0.6625,17.771941,6.447405,-5.435957,19.671313
0.675,18.09745,6.462804,-5.642532,20.028073
0.6875,18.422363,6.480727,-5.849841,20.386366
0.7,18.746806,6.502814,-6.057479,20.746624
0.7125,19.070877,6.530643,-6.265005,21.109191
0.725,19.394622,6.565699,-6.47194,21.474305
0.7375,19.718027,6.609353,-6.677765,21.842085
0.75,20.041008,6.662837,-6.881922,22.212525
0.7625,20.363413,6.727222,-7.083826,22.585498
0.775,20.685022,6.803397,-7.282871,22.960761
0.7875,21.005557,6.892052,-7.478447,23.337973
0.8,21.324697,6.993667,-7.669954,23.716709
0.8125,21.642093,7.108506,-7.856827,24.096489
0.825,21.957395,7.236612,-8.03855,24.476806
0.8375,22.27027,7.377813,-8.214679,24.857152
0.85,22.580426,7.531734,-8.384862,25.237047
0.8625,22.887635,7.697809,-8.548852,25.616069
0.875,23.191755,7.875303,-8.706523,25.993873
0.8875,23.492739,8.063334,-8.857876,26.370212
0.9,23.790651,8.260894,-9.003047,26.744949
0.9125,24.085671,8.466878,-9.142305,27.118062
0.925,24.37809,8.680103,-9.276046,27.489643
0.9375,24.668309,8.899329,-9.404791,27.859893
0.95,24.956824,9.123281,-9.529164,28.229104
0.9625,25.244212,9.350655,-9.649889,28.597646
0.975,25.531109,9.580138,-9.767765,28.965942
0.9875,25.818187,9.810408,-9.883647,29.33444
1,26.10613,10.040148,-9.998431,29.703589
1.0125,26.395607,10.268043,-10.113031,30.073812
1.025,26.687247,10.492791,-10.228355,30.445477
1.0375,26.981613,10.713107,-10.345288,30.818876
1.05,27.279183,10.927729,-10.46467,31.194205
1.0625,27.580329,11.135429,-10.587274,31.571549
1.075,27.885306,11.335028,-10.713794,31.950877
1.0875,28.194241,11.525412,-10.844825,32.332036
1.1,28.507134,11.705549,-10.980848,32.714762
1.1125,28.823862,11.874511,-11.122226,33.098685
1.125,29.144187,12.031493,-11.269193,33.483357
1.1375,29.467775,12.175841,-11.42185,33.868267
1.15,29.794218,12.30706,-11.580172,34.252876
1.1625,30.123056,12.424842,-11.744007,34.636641
1.175,30.45381,12.529066,-11.913088,35.019048
1.1875,30.786008,12.619813,-12.087042,35.39964
1.2,31.119211,12.697362,-12.265405,35.778044
1.2125,31.453043,12.76219,-12.447633,36.153989
1.225,31.787207,12.814954,-12.633119,36.527322
1.2375,32.121504,12.856488,-12.821207,36.898017
1.25,32.455845,12.887773,-13.011199,37.266176
1.2625,32.790246,12.909926,-13.20237,37.63202
1.275,33.124833,12.924172,-13.39397,37.995884
1.2875,33.459831,12.931819,-13.585235,38.358191
1.3,33.795544,12.934243,-13.775382,38.719434
1.3125,34.13234,12.932855,-13.963616,39.080148
1.325,34.470627,12.929086,-14.149126,39.440882
1.3375,34.810824,12.924358,-14.331085,39.802167
1.35,35.153339,12.920072,-14.508652,40.164492
1.3625,35.498538,12.917579,-14.680972,40.528274
1.375,35.846728,12.918164,-14.847181,40.893834
1.3875,36.198126,12.923027,-15.006413,41.261379
1.4,36.552854,12.933262,-15.157811,41.630993
1.4125,36.910919,12.949837,-15.300536,42.002626
1.425,37.272212,12.973582,-15.43379,42.376096
1.4375,37.636514,13.005171,-15.556827,42.751099
1.45,38.003497,13.04511,-15.668979,43.127226
1.4625,38.372749,13.093728,-15.769669,43.503977
1.475,38.743786,13.151173,-15.858437,43.880797
1.4875,39.116085,13.217411,-15.934948,44.257097
1.5,39.489107,13.29223,-15.999014,44.632291
1.5125,39.862332,13.375247,-16.050595,45.005825
1.525,40.23528,13.465921,-16.089811,45.377206
1.5375,40.607544,13.56357,-16.116937,45.746024
1.55,40.978807,13.667385,-16.132403,46.111978
1.5625,41.348862,13.776452,-16.136783,46.474884
1.575,41.717618,13.889768,-16.130784,46.834683
1.5875,42.085105,14.006263,-16.115236,47.191443
1.6,42.45147,14.124815,-16.091071,47.54535
1.6125,42.816963,14.244269,-16.059315,47.896692
1.625,43.181925,14.363447,-16.021063,48.245847
1.6375,43.546764,14.481162,-15.977469,48.593253
1.65,43.911929,14.596231,-15.929732,48.93939
1.6625,44.277883,14.707482,-15.879074,49.284743
1.675,44.645073,14.813765,-15.826733,49.629786
1.6875,45.013904,14.913965,-15.773944,49.974946
1.7,45.384713,15.007007,-15.721924,50.320585
1.7125,45.757742,15.091873,-15.671859,50.666979
1.725,46.133128,15.167614,-15.624884,51.014302
1.7375,46.510885,15.233362,-15.582068,51.362618
1.75,46.890899,15.288348,-15.544394,51.711877
1.7625,47.272936,15.331914,-15.512745,52.061918
1.775,47.656645,15.363528,-15.487881,52.412482
1.7875,48.041578,15.382795,-15.470429,52.763224
1.8,48.42721,15.389468,-15.460866,53.113735
1.8125,48.812969,15.38345,-15.459507,53.463566
1.825,49.198263,15.364799,-15.466499,53.812254
1.8375,49.582513,15.333722,-15.481818,54.159352
1.85,49.965185,15.290571,-15.505268,54.504446
1.8625,50.345816,15.235828,-15.536486,54.847189
1.875,50.72404,15.170095,-15.574948,55.187308
1.8875,51.099603,15.094073,-15.619985,55.524628
1.9,51.472378,15.008548,-15.670788,55.859071
1.9125,51.842369,14.91437,-15.726432,56.190661
1.925,52.209707,14.812437,-15.785884,56.519518
1.9375,52.574636,14.703681,-15.848023,56.845848
1.95,52.937507,14.589049,-15.911654,57.169928
1.9625,53.298744,14.469496,-15.975527,57.492086
1.975,53.65883,14.345974,-16.038347,57.812677
1.9875,54.01827,14.219424,-16.098795,58.132062
2,54.377566,14.09077,-16.15554,58.450585
2.0125,54.737187,13.960918,-16.20726,58.768547
2.025,55.097544,13.830744,-16.252654,59.086188
2.0375,55.458962,13.701096,-16.290466,59.403668
2.05,55.821664,13.572785,-16.319503,59.721059
2.0625,56.185756,13.44658,-16.338656,60.038333
2.075,56.55122,13.323197,-16.346922,60.355363
2.0875,56.917913,13.203292,-16.343427,60.671932
2.1,57.285577,13.08745,-16.327441,60.987737
2.1125,57.65385,12.976174,-16.2984,61.302409
2.125,58.022287,12.869875,-16.255921,61.615537
2.1375,58.390385,12.768862,-16.199805,61.926687
2.15,58.757614,12.673332,-16.130049,62.235432
2.1625,59.123445,12.583365,-16.046844,62.541379
2.175,59.487383,12.498923,-15.950566,62.844191
2.1875,59.848993,12.419843,-15.841772,63.143616
2.2,60.20793,12.345848,-15.721178,63.4395
2.2125,60.563953,12.276547,-15.589648,63.731807
2.225,60.916947,12.211443,-15.448174,64.020621
2.2375,61.266922,12.149951,-15.297854,64.306153
2.25,61.614018,12.091401,-15.139874,64.588738
2.2625,61.958501,12.035062,-14.975493,64.868821
2.275,62.300743,11.98015,-14.806023,65.146948
2.2875,62.641209,11.925849,-14.632817,65.423744
2.3,62.980434,11.871328,-14.457258,65.699892
2.3125,63.318995,11.815752,-14.280751,65.976109
2.325,63.657485,11.758307,-14.104708,66.25312
2.3375,63.996483,11.698207,-13.930542,66.531631
2.35,64.336531,11.634717,-13.759659,66.812305
2.3625,64.678104,11.567166,-13.593444,67.095739
2.375,65.021592,11.494958,-13.433246,67.382442
2.3875,65.367279,11.417589,-13.280363,67.67282
2.4,65.715339,11.334654,-13.136026,67.967164
2.4125,66.065822,11.245858,-13.001371,68.265642
2.425,66.418662,11.151019,-12.877426,68.568302
2.4375,66.773683,11.050074,-12.765077,68.875075
2.45,67.13061,10.943072,-12.665057,69.185788
2.4625,67.489095,10.830176,-12.57792,69.500178
2.475,67.848735,10.711652,-12.504023,69.817913
2.4875,68.209101,10.587855,-12.443519,70.138615
2.5,68.569765,10.45922,-12.396347,70.461886
2.5125,68.930328,10.326245,-12.362231,70.787331
2.525,69.290443,10.189474,-12.340683,71.114579
2.5375,69.649836,10.04948,-12.331015,71.443304
2.55,70.008324,9.906854,-12.33235,71.773241
2.5625,70.36582,9.762187,-12.343642,72.104191
2.575,70.72234,9.61606,-12.363692,72.436033
2.5875,71.077997,9.469036,-12.391174,72.768712
2.6,71.432994,9.321656,-12.424654,73.102243
2.6125,71.787608,9.174434,-12.462612,73.436691
2.625,72.142166,9.027854,-12.503469,73.772156
2.6375,72.49703,8.882378,-12.545603,74.108759
2.65,72.852566,8.738445,-12.587373,74.446616
2.6625,73.209117,8.596474,-12.627141,74.78582
2.675,73.566983,8.456869,-12.663291,75.126417
2.6875,73.926396,8.320024,-12.694256,75.468397
2.7,74.287499,8.18632,-12.718535,75.811671
2.7125,74.650333,8.056133,-12.734723,76.156068
2.725,75.014829,7.929825,-12.741526,76.501328
2.7375,75.380805,7.807748,-12.737794,76.847109
2.75,75.747972,7.690236,-12.722536,77.192991
2.7625,76.115943,7.5776,-12.694942,77.538496
2.775,76.484256,7.470119,-12.654401,77.883105
2.7875,76.852394,7.368039,-12.600513,78.226283
2.8,77.219812,7.271561,-12.533094,78.567508
2.8125,77.58597,7.180837,-12.452184,78.906299
2.825,77.950363,7.095965,-12.358035,79.242241
2.8375,78.312551,7.016988,-12.251109,79.575017
2.85,78.672185,6.943891,-12.132061,79.904425
2.8625,79.02903,6.876607,-12.001721,80.230397
