Time,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9
0,0.523599,1,0,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.2,0.523599,0.927931,2.8292,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.4,0.523599,0.722113,-1.882,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.6,0.523599,0.412212,-1.57728,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
0.8,0.523599,0.0428957,2.93122,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
1,0.523599,-0.332604,-0.372591,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
1.2,0.523599,-0.660162,-2.68337,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
1.4,0.523599,-0.892567,2.15759,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
1.6,0.523599,-0.99632,1.24812,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
1.8,0.523599,-0.956466,-2.98785,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
2,0.523599,-0.778749,0.73942,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
2.2,0.523599,-0.488786,2.49598,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
2.4,0.523599,-0.128371,-2.39977,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
2.6,0.523599,0.250548,-0.899639,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
2.8,0.523599,0.593353,2.99822,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
3,0.523599,0.850634,-1.0948,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
3.2,0.523599,0.985307,-2.26995,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
3.4,0.523599,0.977961,2.60478,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
3.6,0.523599,0.829654,0.537223,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
3.8,0.523599,0.561763,-2.96215,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
4,0.523599,0.212901,1.43322,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
4.2,0.523599,-0.166647,2.00877,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
4.4,0.523599,-0.522175,-2.76946,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
4.6,0.523599,-0.802439,-0.166516,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
4.8,0.523599,-0.967041,2.88022,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
5,0.523599,-0.992258,-1.74942,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
5.2,0.523599,-0.874453,-1.7165,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
5.4,0.523599,-0.630607,2.89124,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
5.6,0.523599,-0.295868,-0.206763,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
5.8,0.523599,0.0815168,-2.7537,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
6,0.523599,0.447152,2.03854,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704,-0.00132704
