time,p_deg_per_sec,q_deg_per_sec,r_deg_per_sec
0,0,0,0
0.2,30,57.29578,0
0.4,30,53.166554,162.101229
0.6,30,41.374053,-107.830905
0.8,30,23.618014,-90.371334
1,30,2.457742,167.946568
1.2,30,-19.056783,-21.347933
1.4,30,-37.824517,-153.745769
1.6,30,-51.140333,123.620726
1.8,30,-57.084926,71.512371
2,30,-54.801462,-171.191271
2.2,30,-44.61907,42.365296
2.4,30,-28.005413,143.009571
2.6,30,-7.355136,-137.496293
2.8,30,14.35529,-51.546046
3,30,33.996586,171.785094
3.2,30,48.73771,-62.726636
3.4,30,56.453919,-130.058884
3.6,30,56.033022,149.242743
3.8,30,47.535684,30.781536
4,30,32.186688,-169.718842
4.2,30,12.198395,82.11666
4.4,30,-9.548141,115.094248
4.6,30,-29.918434,-158.678183
4.8,30,-45.97637,-9.540377
5,30,-55.407402,165.024511
5.2,30,-56.85217,-100.235117
5.4,30,-50.102427,-98.347389
5.6,30,-36.131064,165.656509
5.8,30,-16.951872,-11.848514
6,30,4.670715,-157.774792
6.2,30,25.620078,116.801442
6.4,30,42.876636,80.077631
6.6,30,53.953078,-170.069659
6.8,30,57.252877,33.053931
7,30,52.300409,148.081946
7.2,30,39.809509,-131.559109
7.4,30,21.58058,-60.567879
7.6,30,0.241088,171.849298
7.8,30,-21.133155,-53.747512
8,30,-39.461324,-136.096066
8.2,30,-52.101651,144.279596
8.4,30,-57.232194,40.120239
8.6,30,-54.113451,-170.967868
8.8,30,-43.19495,73.608819
9,30,-26.050452,122.002751
9.2,30,-5.151116,-154.765928
9.4,30,16.490688,-19.051341
9.6,30,35.75557,167.439017
9.8,30,49.866747,-92.3303
10,30,56.790272,-106.020237
10.2,30,55.52821,162.855725
10.4,30,46.262469,-2.312565
10.6,30,30.328588,-161.31739
10.8,30,10.023231,109.622055
11,30,-11.726846,88.396009
11.2,30,-31.78665,-168.423717
11.4,30,-47.264816,23.640661
11.6,30,-55.930366,152.697779
11.8,30,-56.534272,-125.216324
12,30,-48.98949,-69.402979
12.2,30,-34.383502,171.383685
12.4,30,-14.821574,-44.602684
12.6,30,6.876694,-141.713659
12.8,30,27.583774,138.87163
13,30,44.315008,49.33525
13.2,30,54.658803,-171.689794
13.4,30,57.124233,64.874038
13.6,30,51.355939,128.535116
13.8,30,38.185347,-150.376524
14,30,19.510827,-28.503569
14.2,30,-1.975928,169.337303
14.4,30,-23.177878,-84.140825
14.6,30,-41.039035,-113.36622
14.8,30,-52.984942,159.552852
15,30,-57.293751,7.230514
15.2,30,-53.344401,-164.362641
15.4,30,-41.706142,102.104699
15.6,30,-24.056478,96.44186
15.8,30,-2.939382,-166.258519
16,30,18.601389,14.154505
16.2,30,37.461008,156.84284
16.4,30,50.921104,-118.487493
16.6,30,57.041577,-78.024107
16.8,30,54.94024,170.389691
17,30,44.919973,-35.320343
17.2,30,28.425069,-146.894344
17.4,30,7.833057,133.035519
17.6,30,-13.88799,58.398158
17.8,30,-33.607262,-171.882395
18,30,-48.482478,55.939249
18.2,30,-56.369568,134.671203
18.4,30,-56.13171,-145.523504
18.6,30,-47.803186,-37.86792
18.8,30,-32.584447,170.713517
19,30,-12.669079,-75.691942
19.2,30,9.072374,-120.362692
19.4,30,29.506161,155.758071
19.6,30,45.687014,16.751301
19.8,30,55.282671,-166.901157
20,30,56.910041,94.272552
20.2,30,50.33456,104.190377
20.4,30,36.503999,-163.580741
20.6,30,17.411855,4.624711
20.8,30,-4.189984,160.50435
21,30,-25.18789,-111.393361
21.2,30,-42.555286,-86.404684
21.4,30,-53.788884,168.870379
21.6,30,-57.269505,-25.929109
21.8,30,-52.495463,-151.622149
22,30,-40.154875,126.789255
22.2,30,-22.026477,67.281023
22.4,30,-0.723246,-171.545076
22.6,30,20.684232,46.831998
22.8,30,39.110344,140.392094
23,30,51.899202,-140.22183
23.2,30,57.207457,-47.115522
23.4,30,54.269992,171.563415
23.6,30,43.510205,-67.009697
23.8,30,26.478981,-126.988081
24,30,5.631152,151.483084
24.2,30,-16.028336,26.220442
24.4,30,-35.377544,-168.925111
24.6,30,-49.627534,86.149759
24.8,30,-56.724353,111.617671
25,30,-55.645085,-160.398638
25.2,30,-46.545293,-4.919342
25.4,30,-30.736595,163.671019
25.6,30,-10.497612,-103.9558
25.8,30,11.254468,-94.518872
26,30,31.38436,166.830435
26.2,30,46.9906,-16.457935
26.4,30,55.823748,-155.882498
26.6,30,56.610621,120.152095
26.8,30,49.2378,75.956458
27,30,34.767983,-170.678879
27.2,30,15.286807,37.580362
27.4,30,-6.397765,145.680151
27.6,30,-27.160181,-134.487848
27.8,30,-44.007807,-56.217866
28,30,-54.512272,171.884377
28.2,30,-57.159494,-58.12086
28.4,30,-51.567909,-133.221962
28.6,30,-38.543473,146.741069
28.8,30,-19.96349,35.608746
29,30,1.493974,-170.428264
29.2,30,22.7361,77.761363
29.4,30,40.70111,118.700845
29.6,30,52.799577,-156.72202
29.8,30,57.287664,-14.448228
30,30,53.51847,166.333085
30.2,30,42.035277,-96.197739
30.4,30,24.493238,-102.341656
30.6,30,3.420813,164.276146
30.8,30,-18.144677,-6.93602
31,30,-37.094846,-159.662256
31.2,30,-50.698269,113.144503
31.4,30,-56.994188,84.397717
31.6,30,-55.075127,-169.286472
31.8,30,-45.217694,28.212864
32,30,-28.842712,150.519072
32.2,30,-8.310423,-128.339235
32.4,30,13.419707,-65.146888
32.6,30,33.215558,171.675415
32.8,30,48.223813,-49.052834
33,30,56.281225,-139.045116
33.2,30,56.226422,141.546647
33.4,30,48.067302,44.887266
33.600001,30,32.979899,-171.40598
33.800001,30,13.138866,69.133227
34.000001,30,-8.595965,125.41806
34.200001,30,-29.091798,-152.562224
34.400001,30,-45.394422,-23.932569
34.600001,30,-55.154024,168.482341
34.800001,30,-56.963882,-88.143098
35.000001,30,-50.563128,-109.848917
35.200001,30,-36.874348,161.215389
35.400001,30,-17.870605,2.607279
35.600001,30,3.708955,-162.94977
35.800001,30,24.753918,105.788082
36.000001,30,42.230922,92.578775
36.200001,30,53.62088,-167.372151
36.400001,30,57.282078,18.758385
36.600001,30,52.6868,154.893938
36.800001,30,40.497397,-121.794948
37.000001,30,22.470814,-73.875061
37.200001,30,1.205352,170.937171
37.400001,30,-20.233845,-39.833577
37.600001,30,-38.756594,-144.439588
37.800001,30,-51.693078,135.915832
38.000001,30,-57.178669,54.027398
38.200001,30,-54.422689,-171.855246
38.400001,30,-43.822378,60.29195
38.600001,30,-26.905634,131.748606
38.800001,30,-6.110789,-147.932073
39.000001,30,15.564848,-33.343126
39.200001,30,34.997013,170.11216
39.400001,30,49.384807,-79.816709
39.600001,30,56.654416,-117.017511
39.800001,30,55.758019,157.6576
40.000001,30,46.82482,12.142539
40.200001,30,31.142424,-165.734904
40.400001,30,10.971249,98.105513
40.600001,30,-10.781292,100.47441
40.800001,30,-30.979847,-164.941815
41.000001,30,-46.713056,9.246073
41.200001,30,-55.713178,158.79126
41.400001,30,-56.682961,-114.875164
41.600001,30,-49.482623,-82.375474
41.800001,30,-35.150001,169.671922
42.000001,30,-15.750958,-30.491512
42.200001,30,5.918383,-149.388749
42.400001,30,26.734665,129.865984
42.600001,30,43.697489,63.000961
42.800001,30,54.361881,-171.774677
43.000001,30,57.190707,51.264792
43.200001,30,51.776227,137.672968
43.400001,30,38.898869,-142.845842
43.600001,30,20.414739,-42.650885
43.800001,30,-1.011914,171.217518
44.000001,30,-22.292712,-71.244242
44.200001,30,-40.360302,-123.825335
44.400001,30,-52.610473,153.613747
44.600001,30,-57.27752,21.640364
44.800001,30,-53.688749,-168.009073
45.000001,30,-42.361434,90.120482
45.200001,30,-24.928263,108.060279
45.400001,30,-3.902003,-162.002958
45.600001,30,17.686681,-0.294744
45.800001,30,36.726057,162.199024
46.000001,30,50.471843,-107.601215
46.200001,30,56.942762,-90.62192
46.400001,30,55.206114,167.883569
46.600001,30,45.512213,-21.05544
46.800001,30,29.258312,-153.877339
47.000001,30,8.787201,123.415754
47.200001,30,-12.950473,71.78029
47.400001,30,-32.821501,-171.16452
