time,VN_m_per_sec,VE_m_per_sec,VD_m_per_sec,V_m_per_sec
0,0,0,0,0
0.2,30.062638,5.138,-2.711014,30.618799
0.4,24.874723,17.070302,-6.653482,30.893623
0.6,25.819352,9.766389,-12.778689,30.41901
0.8,26.184477,3.443963,-16.297589,31.033839
1,23.977293,15.225016,-11.710823,30.722224
1.2,25.199822,13.327515,-11.482945,30.732909
1.4,27.453945,1.381745,-14.544472,31.099357
1.6,29.580753,6.020623,-4.690546,30.549469
1.8,30.272995,6.398955,2.983377,31.085389
2,30.020572,-6.389362,-3.471731,30.888697
2.2,29.413091,-8.68796,2.198607,30.74808
2.4,27.969195,-5.107639,12.855645,31.203068
2.6,28.826982,-10.024279,3.501491,30.720376
2.8,29.449897,-10.330246,-0.488133,31.212957
3,28.478019,-4.044055,11.707795,31.055183
3.2,30.159037,0.781599,6.322212,30.824484
3.4,30.638838,5.773339,-3.9053,31.421668
3.6,28.042155,10.22261,7.879631,30.869933
3.8,25.325948,14.677623,10.879611,31.228228
4,23.779575,20.294799,-1.293574,31.289301
4.2,23.796068,19.129048,5.011038,30.940004
4.4,24.73181,14.915033,12.743564,31.56769
4.6,24.578605,18.992107,0.747766,31.070357
4.8,26.9126,15.712729,-2.927877,31.300964
5,31.118982,3.965579,3.190861,31.532498
5.2,29.913071,5.662112,-6.192301,31.067602
5.4,26.810207,7.766401,-14.935213,31.656987
5.6,28.864104,-4.939211,-11.02432,31.290061
5.8,28.378367,-4.810111,-12.508066,31.383445
6,26.264105,6.467422,-16.613871,31.743526
6.2,28.643465,-1.602439,-12.293224,31.211204
6.4,30.392963,-6.675872,-6.36743,31.762299
6.6,30.622869,7.164145,-2.341804,31.53679
6.8,30.96266,4.541555,3.200168,31.457163
7,30.030242,-7.642474,7.306432,31.837192
7.2,28.108616,1.520014,13.641196,31.280776
7.4,26.642751,5.527146,16.432732,31.787108
7.6,28.77534,-6.697718,11.434751,31.680169
7.8,28.924158,-2.124571,12.24558,31.481343
8,27.085152,9.111814,14.394869,31.997545
8.2,31.083089,4.221627,3.337889,31.545555
8.4,31.31414,5.857196,-2.807103,31.980649
8.6,26.185331,17.84272,3.778513,31.910991
8.8,25.386085,18.354937,-3.907716,31.569404
9,25.151023,15.032301,-13.221665,32.145862
9.2,24.127098,20.403331,-2.384869,31.687543
9.4,24.947214,20.023024,-0.713622,31.996784
9.6,26.243208,13.411527,-12.722258,32.100326
9.8,29.804727,9.770581,-4.933299,31.75096
10,31.798092,4.98608,3.606166,32.388024
10.2,30.503616,-0.159029,-9.428762,31.928004
