time,p_deg_per_sec,q_deg_per_sec,r_deg_per_sec
0,0,0,0
0.025,30,57.29578,0
0.05,30,57.230483,40.646403
0.075,30,57.034741,78.98722
0.1,30,56.709,112.847645
0.125,30,56.254002,140.307014
0.15,30,55.670785,159.807748
0.175,30,54.960679,170.243708
0.2,30,54.1253,171.022935
0.225,30,53.166554,162.101229
0.25,30,52.086626,143.984655
0.275,30,50.887977,117.700841
0.3,30,49.57334,84.740682
0.325,30,48.145711,46.973777
0.35,30,46.608343,6.542379
0.375,30,44.964741,-34.260122
0.4,30,43.218651,-73.119286
0.425,30,41.374053,-107.830905
0.45,30,39.435152,-136.426033
0.475,30,37.406366,-157.282667
0.5,30,35.292321,-169.217757
0.525,30,33.097833,-171.554309
0.55,30,30.827906,-164.159786
0.575,30,28.487713,-147.453629
0.6,30,26.082589,-122.383459
0.625,30,23.618014,-90.371334
0.65,30,21.099607,-53.233075
0.675,30,18.533108,-13.075277
0.7,30,15.924366,27.824189
0.725,30,13.279329,67.145385
0.75,30,10.604023,102.657893
0.775,30,7.904548,132.347338
0.8,30,5.187056,154.529645
0.825,30,2.457742,167.946568
0.85,30,-0.277175,171.837058
0.875,30,-3.01146,165.980436
0.9,30,-5.738881,150.708906
0.925,30,-8.453221,126.888715
0.95,30,-11.148294,95.871016
0.975,30,-13.817956,59.415226
1,30,-16.456124,19.589226
1.025,30,-19.056783,-21.347933
1.05,30,-21.614006,-61.074174
1.075,30,-24.121964,-97.336104
1.1,30,-26.574942,-128.076839
1.125,30,-28.967347,-151.552672
1.15,30,-31.293727,-166.431984
1.175,30,-33.54878,-171.870774
1.2,30,-35.727365,-167.560539
1.225,30,-37.824517,-153.745769
1.25,30,-39.835455,-131.210078
1.275,30,-41.755597,-101.231758
1.3,30,-43.580566,-65.511269
1.325,30,-45.306202,-26.074785
1.35,30,-46.928572,14.840739
1.375,30,-48.443978,54.914451
1.4,30,-49.848965,91.873252
1.425,30,-51.140333,123.620726
1.45,30,-52.315136,148.356063
1.475,30,-53.370698,164.676199
1.5,30,-54.304612,171.655408
1.525,30,-55.11475,168.897807
1.55,30,-55.799266,156.559817
1.575,30,-56.356599,135.341285
1.6,30,-56.785478,106.44579
1.625,30,-57.084926,71.512371
1.65,30,-57.254262,32.522556
1.675,30,-57.293098,-8.312036
1.7,30,-57.201346,-48.675145
1.725,30,-56.979216,-86.277253
1.75,30,-56.627213,-118.985457
1.775,30,-56.14614,-144.94445
1.8,30,-55.537093,-162.681759
1.825,30,-54.801462,-171.191271
1.85,30,-53.940921,-169.990301
1.875,30,-52.957434,-159.146973
1.9,30,-51.853241,-139.276351
1.925,30,-50.630859,-111.505557
1.95,30,-49.293074,-77.409834
1.975,30,-47.842937,-38.923193
2,30,-46.283751,1.771288
2.025,30,-44.61907,42.365296
2.05,30,-42.85269,80.556217
2.075,30,-40.988636,114.177749
2.1,30,-39.031157,141.322777
2.125,30,-36.984714,160.451553
2.15,30,-34.853973,170.479036
2.175,30,-32.643789,170.836438
2.2,30,-30.3592,161.503485
2.225,30,-28.005413,143.009571
2.25,30,-25.587794,116.403725
2.275,30,-23.111853,83.195111
2.3,30,-20.583233,45.267422
2.325,30,-18.007698,4.772028
2.35,30,-15.391119,-35.994049
2.375,30,-12.739458,-74.718436
2.4,30,-10.05876,-109.20457
2.425,30,-7.355136,-137.496293
2.45,30,-4.634747,-157.988814
2.475,30,-1.903794,-169.519736
2.5,30,0.831499,-171.434992
2.525,30,3.564896,-163.62594
2.55,30,6.290167,-146.535535
2.575,30,9.001102,-121.133196
2.6,30,11.69152,-88.859819
2.625,30,14.35529,-51.546046
2.65,30,16.98634,-11.308428
2.675,30,19.578673,29.570639
2.7,30,22.126381,68.77237
2.725,30,24.623656,104.073126
2.75,30,27.064807,133.470543
2.775,30,29.444269,155.297111
2.8,30,31.756618,168.314761
2.825,30,33.996586,171.785094
2.85,30,36.159064,165.511262
2.875,30,38.239126,149.849134
2.9,30,40.23203,125.687116
2.925,30,42.133233,94.395747
2.95,30,43.938402,57.749968
2.975,30,45.643422,17.828439
3,30,47.244408,-23.104373
3.025,30,48.73771,-62.726636
3.05,30,50.119924,-98.790856
3.075,30,51.3879,-129.251363
3.1,30,52.538748,-152.380345
3.125,30,53.569845,-166.865857
3.15,30,54.478841,-171.886238
3.175,30,55.263663,-167.156717
3.2,30,55.922523,-152.945566
3.225,30,56.453919,-130.058884
3.25,30,56.856641,-99.794872
3.275,30,57.129769,-63.870197
3.3,30,57.272681,-24.322612
3.325,30,57.285053,16.604624
3.35,30,57.166855,56.589996
3.375,30,56.918357,93.365414
3.4,30,56.540125,124.844865
3.425,30,56.033022,149.242743
3.45,30,55.398203,165.175124
3.475,30,54.637115,171.738278
3.5,30,53.751493,168.559922
3.525,30,52.743356,155.820342
3.55,30,51.615001,134.242165
3.575,30,50.369001,105.049371
3.6,30,49.008194,69.897862
3.625,30,47.535684,30.781536
3.65,30,45.954826,-10.08081
3.675,30,44.269223,-50.371343
3.7,30,42.482718,-87.804662
3.725,30,40.599382,-120.257438
3.75,30,38.623508,-145.888851
3.775,30,36.5596,-163.245012
3.8,30,34.412362,-171.341427
3.825,30,32.186688,-169.718842
3.85,30,29.887651,-158.469297
3.875,30,27.520492,-138.230898
3.9,30,25.090605,-110.151628
3.925,30,22.603529,-75.824228
3.95,30,20.064933,-37.19585
3.975,30,17.480603,3.542387
4,30,14.85643,44.07969
4.025,30,12.198395,82.11666
4.05,30,9.512556,115.495728
4.075,30,6.805035,142.323532
4.1,30,4.082003,161.078319
4.125,30,1.349667,170.69626
4.15,30,-1.385745,170.631799
4.175,30,-4.117998,160.888591
4.2,30,-6.840866,142.0193
4.225,30,-9.548141,115.094248
4.25,30,-12.233653,81.640706
4.275,30,-14.891281,43.556259
4.3,30,-17.514967,3.00117
4.325,30,-20.098731,-37.724154
4.35,30,-22.636685,-76.309652
4.375,30,-25.123043,-110.566637
4.4,30,-27.552138,-138.551951
4.425,30,-29.918434,-158.678183
4.45,30,-32.216537,-169.803714
4.475,30,-34.441209,-171.297469
4.5,30,-36.587379,-163.074718
4.525,30,-38.650156,-145.601881
4.55,30,-40.624838,-119.870069
4.575,30,-42.506924,-87.338867
4.6,30,-44.292124,-49.853543
4.625,30,-45.97637,-9.540377
4.65,30,-47.555822,31.313948
4.675,30,-49.02688,70.392052
4.7,30,-50.386191,105.477308
4.725,30,-51.630658,134.579575
4.75,30,-52.757443,156.048085
4.775,30,-53.763978,168.665081
4.8,30,-54.64797,171.714887
4.825,30,-55.407402,165.024511
4.85,30,-56.040545,148.97345
4.875,30,-56.545955,124.472169
4.9,30,-56.922481,92.910453
4.925,30,-57.169263,56.078578
4.95,30,-57.28574,16.065758
4.975,30,-57.271645,-24.85836
5,30,-57.127012,-64.372437
5.025,30,-56.85217,-100.235117
5.05,30,-56.447745,-130.41216
5.075,30,-55.914658,-153.191835
5.1,30,-55.254126,-167.282011
5.125,30,-54.467654,-171.883449
5.15,30,-53.557033,-166.735143
5.175,30,-52.524341,-152.129121
5.2,30,-51.37193,-128.893879
5.225,30,-50.102427,-98.347389
5.25,30,-48.718727,-62.222342
5.275,30,-47.223982,-22.567856
5.3,30,-45.621599,18.366746
5.325,30,-43.915232,58.259531
5.35,30,-42.108769,94.84766
5.375,30,-40.206327,126.055747
5.4,30,-38.212244,150.113574
5.425,30,-36.131064,165.656509
5.45,30,-33.96753,171.80291
5.475,30,-31.726575,168.204136
5.5,30,-29.413305,155.064319
5.525,30,-27.032994,133.12879
5.55,30,-24.591066,103.641796
5.575,30,-22.093088,68.27593
5.6,30,-19.544754,29.037248
5.625,30,-16.951872,-11.848514
5.65,30,-14.320351,-52.062192
5.675,30,-11.65619,-89.322747
5.7,30,-8.965461,-121.516648
5.725,30,-6.254297,-146.817761
5.75,30,-3.528877,-163.79093
5.775,30,-0.795415,-171.473387
5.8,30,1.939861,-169.42936
5.825,30,4.670715,-157.774792
5.85,30,7.390923,-137.170765
5.875,30,10.094285,-108.786001
5.9,30,12.77464,-74.23057
5.925,30,15.425877,-35.464558
5.95,30,18.041954,5.31311
5.975,30,20.616908,45.789403
6,30,23.14487,83.668383
6.025,30,25.620078,116.801442
6.05,30,28.036891,143.309173
6.075,30,30.389799,161.687979
6.1,30,32.67344,170.895358
6.125,30,34.882608,170.40904
6.15,30,37.012269,160.256611
6.175,30,39.057568,141.013947
6.2,30,41.013844,113.772549
6.225,30,42.876636,80.077631
6.25,30,44.641701,41.84047
6.275,30,46.305013,1.229993
6.3,30,47.862783,-39.450254
6.325,30,49.31146,-77.892764
6.35,30,50.647741,-111.916962
6.375,30,51.868582,-139.592896
6.4,30,52.971198,-159.350702
6.425,30,53.953078,-170.069659
6.45,30,54.811983,-171.141756
6.475,30,55.545955,-162.506179
6.5,30,56.153322,-144.652765
6.525,30,56.632698,-118.594212
6.55,30,56.982993,-85.808641
6.575,30,57.203406,-48.155746
6.6,30,57.293436,-7.771314
6.625,30,57.252877,33.053931
6.65,30,57.081822,72.004258
6.675,30,56.780661,106.870288
6.7,30,56.35008,135.674315
6.725,30,55.791061,156.782488
6.75,30,55.104877,168.997489
6.775,30,54.293094,171.626445
6.8,30,53.35756,164.520236
6.825,30,52.300409,148.081946
6.85,30,51.12405,123.244004
6.875,30,49.831164,91.415293
6.9,30,48.424698,54.401233
6.925,30,46.907859,14.301372
6.95,30,45.284102,-26.609706
6.975,30,43.55713,-66.011402
7,30,41.730878,-101.668733
7.025,30,39.809509,-131.559109
7.05,30,37.797403,-153.987058
7.075,30,35.699145,-167.6804
7.1,30,33.519519,-171.862407
7.125,30,31.263491,-166.295864
7.15,30,28.936205,-151.29652
7.175,30,26.542965,-127.715185
7.2,30,24.089226,-96.889462
7.225,30,21.58058,-60.567879
7.25,30,19.022746,-20.810704
7.275,30,16.421553,20.126917
7.3,30,13.782931,59.922878
7.325,30,11.112893,96.319835
7.35,30,8.417526,127.253242
7.375,30,5.702973,150.968463
7.4,30,2.975421,166.120301
7.425,30,0.241088,171.849298
7.45,30,-2.493796,167.830488
7.475,30,-5.222995,154.29183
7.5,30,-7.940289,132.001276
7.525,30,-10.639485,102.223215
7.55,30,-13.314431,66.646747
7.575,30,-15.959029,27.289876
7.6,30,-18.567252,-13.614959
7.625,30,-21.133155,-53.747512
7.65,30,-23.650889,-90.831346
7.675,30,-26.114715,-122.762954
7.7,30,-28.519019,-147.731079
7.725,30,-30.858319,-164.319454
7.75,30,-33.127284,-171.587138
7.775,30,-35.320742,-169.121885
7.8,30,-37.433694,-157.063533
7.825,30,-39.461324,-136.096066
7.85,30,-41.39901,-107.408822
7.875,30,-43.242335,-72.629028
7.9,30,-44.987098,-33.729499
7.925,30,-46.629322,7.083269
7.95,30,-48.165265,47.494253
7.975,30,-49.591424,85.211221
8,30,-50.904551,118.094752
8.025,30,-52.101651,144.279596
8.05,30,-53.179995,162.280468
8.075,30,-54.137128,171.076307
8.1,30,-54.970865,170.168184
8.125,30,-55.679308,159.607612
8.15,30,-56.260841,139.993619
8.175,30,-56.71414,112.438767
8.2,30,-57.03817,78.506052
8.225,30,-57.232194,40.120239
8.25,30,-57.295768,-0.541315
8.275,30,-57.228749,-41.172163
8.3,30,-57.031288,-79.467604
8.325,30,-56.703837,-113.255403
8.35,30,-56.247141,-140.619017
8.375,30,-55.662241,-160.006299
8.4,30,-54.95047,-170.317544
8.425,30,-54.113451,-170.967868
8.45,30,-53.153092,-161.920382
8.475,30,-52.071581,-143.688287
8.5,30,-50.871384,-117.305762
8.525,30,-49.555236,-84.269302
8.55,30,-48.126137,-46.452835
8.575,30,-46.587345,-6.001425
8.6,30,-44.942366,34.790405
8.625,30,-43.19495,73.608819
8.65,30,-41.349081,108.251919
8.675,30,-39.408964,136.754647
8.7,30,-37.379023,157.500241
8.725,30,-35.263885,169.31195
8.75,30,-33.068369,171.519778
8.775,30,-30.797481,163.99849
8.8,30,-28.456397,147.174716
8.825,30,-26.050452,122.002751
8.85,30,-23.58513,89.910425
8.875,30,-21.066051,52.71811
8.9,30,-18.498957,12.535466
8.925,30,-15.889697,-28.358227
8.95,30,-13.244221,-67.643357
8.975,30,-10.568557,-103.091552
9,30,-7.868804,-132.692086
9.025,30,-5.151116,-154.765928
9.05,30,-2.421687,-168.060982
9.075,30,0.313262,-171.823114
9.1,30,3.047497,-165.838924
9.125,30,5.774786,-150.447853
9.15,30,8.488912,-126.52293
9.175,30,11.183689,-95.421246
9.2,30,13.852976,-58.906984
9.225,30,16.490688,-19.051341
9.25,30,19.090812,21.884951
9.275,30,21.647423,61.579863
9.3,30,24.154693,97.781781
