Time,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9
0,0,0,0,101.269,0,0,0,0,0
0.025,0.0132407,0.0249116,0.00907553,101.269,0,0,2.52127,-0.0023691,-0.0416318
0.05,0.0273592,0.0492907,0.035818,101.269,0,0,5.04029,0.0406995,-0.145972
0.075,0.0431011,0.0726012,0.0787958,101.269,0,0,7.55284,0.171833,-0.311824
0.1,0.0609653,0.0943237,0.135692,101.269,0,0,10.0509,0.428313,-0.537177
0.125,0.0811239,0.114013,0.203412,101.269,0,0,12.5223,0.839538,-0.819194
0.15,0.103394,0.131389,0.278239,101.269,0,0,14.9514,1.4249,-1.15425
0.175,0.127272,0.146432,0.356038,101.269,0,0,17.3219,2.19247,-1.53802
0.2,0.152018,0.159463,0.432502,101.269,0,0,19.6191,3.13878,-1.96571
0.225,0.176776,0.171153,0.50342,101.269,0,0,21.8336,4.24987,-2.43224
0.25,0.200676,0.182478,0.564941,101.269,0,0,23.9633,5.50324,-2.93264
0.275,0.222904,0.194599,0.613802,101.269,0,0,26.0147,6.87033,-3.46224
0.3,0.242718,0.208704,0.647502,101.269,0,0,28.0027,8.31895,-4.01704
0.325,0.259423,0.225836,0.664403,101.269,0,0,29.9488,9.81519,-4.59379
0.35,0.272337,0.246731,0.663778,101.269,0,0,31.8787,11.3247,-5.1902
0.375,0.280788,0.271688,0.645792,101.269,0,0,33.8191,12.8133,-5.80487
0.4,0.284162,0.30049,0.611452,101.269,0,0,35.794,14.2478,-6.43724
0.425,0.282008,0.332397,0.562542,101.269,0,0,37.8225,15.597,-7.08745
0.45,0.274205,0.366217,0.501556,101.269,0,0,39.9161,16.8326,-7.75616
0.475,0.261132,0.400465,0.431658,101.269,0,0,42.0784,17.9317,-8.44428
0.5,0.243812,0.433593,0.356623,101.269,0,0,44.305,18.8785,-9.15278
0.525,0.223961,0.46423,0.280749,101.269,0,0,46.5859,19.6668,-9.88248
0.55,0.203899,0.491386,0.20867,101.269,0,0,48.9077,20.3007,-10.6338
0.575,0.186332,0.514533,0.14507,101.269,0,0,51.2562,20.795,-11.4069
0.6,0.174032,0.53355,0.0943161,101.269,0,0,53.6192,21.1743,-12.201
0.625,0.169495,0.548529,0.0600728,101.269,0,0,55.9872,21.4714,-13.0151
0.65,0.17465,0.559519,0.0449692,101.269,0,0,58.354,21.7244,-13.8475
0.675,0.190617,0.566307,0.0503375,101.269,0,0,60.7155,21.9751,-14.6958
0.7,0.217528,0.56831,0.0760356,101.269,0,0,63.0677,22.2653,-15.5569
0.725,0.254423,0.564659,0.120365,101.269,0,0,65.4051,22.6353,-16.4273
0.75,0.299258,0.554447,0.180134,101.269,0,0,67.7193,23.1203,-17.303
0.775,0.349126,0.537105,0.250937,101.269,0,0,69.9983,23.7489,-18.1793
0.8,0.400694,0.512753,0.327656,101.269,0,0,72.2275,24.5401,-19.0514
0.825,0.450768,0.482408,0.405073,101.269,0,0,74.3917,25.503,-19.9145
0.85,0.496798,0.447969,0.478437,101.269,0,0,76.4779,26.6357,-20.7636
0.875,0.537157,0.411991,0.543792,101.269,0,0,78.4778,27.9268,-21.5941
0.9,0.571142,0.377337,0.598084,101.269,0,0,80.3908,29.3568,-22.4019
0.925,0.598776,0.346817,0.639099,101.269,0,0,82.2248,30.9006,-23.1833
0.95,0.620507,0.322874,0.665354,101.269,0,0,83.9967,32.5295,-23.9352
0.975,0.636912,0.307362,0.676011,101.269,0,0,85.7304,34.2133,-24.6549
1,0.648461,0.301406,0.670831,101.269,0,0,87.4547,35.921,-25.3399
1.025,0.655384,0.305329,0.650151,101.269,0,0,89.2003,37.6213,-25.9881
1.05,0.657652,0.318634,0.61486,101.269,0,0,90.9964,39.2829,-26.5977
1.075,0.655065,0.34004,0.566366,101.269,0,0,92.8674,40.8745,-27.1666
1.1,0.64744,0.367576,0.506572,101.269,0,0,94.8304,42.3665,-27.6931
1.125,0.634839,0.398748,0.437867,101.269,0,0,96.8938,43.7326,-28.1753
1.15,0.617811,0.430773,0.363158,101.269,0,0,99.0569,44.9518,-28.6118
1.175,0.597563,0.460862,0.285887,101.269,0,0,101.311,46.0115,-29.001
1.2,0.576006,0.486503,0.209986,101.269,0,0,103.642,46.9091,-29.3417
1.225,0.555608,0.505686,0.139689,101.269,0,0,106.034,47.6531,-29.6326
1.25,0.539052,0.516991,0.0791619,101.269,0,0,108.468,48.2632,-29.8727
1.275,0.528761,0.51955,0.03202,101.269,0,0,110.932,48.7684,-30.0609
1.3,0.526429,0.512883,0.000834377,101.269,0,0,113.411,49.2054,-30.1959
1.325,0.532691,0.496741,-0.0132218,101.269,0,0,115.898,49.6158,-30.2764
1.35,0.547018,0.471014,-0.0105011,101.269,0,0,118.383,50.0429,-30.3006
1.375,0.567855,0.435776,0.00723983,101.269,0,0,120.857,50.529,-30.2664
1.4,0.592958,0.391429,0.0371706,101.269,0,0,123.308,51.1125,-30.1716
1.425,0.619846,0.338885,0.0758321,101.269,0,0,125.722,51.8249,-30.0141
1.45,0.646253,0.279681,0.119576,101.269,0,0,128.08,52.6885,-29.7919
1.475,0.67047,0.215976,0.164893,101.269,0,0,130.364,53.7149,-29.5032
1.5,0.691536,0.150418,0.208585,101.269,0,0,132.558,54.9041,-29.1469
